reference_actor_Q_std,rollout/episode_steps,total/epochs,rollout/return_history,reference_Q_std,rollout/return,train/param_noise_distance,success rate,reference_actor_Q_mean,reference_Q_mean,rollout/actions_std,total/steps,rollout/Q_mean,train/loss_critic,total/steps_per_second,total/duration,rollout/goal_tolerance,reference_action_std,rollout/error,total/episodes,rollout/episodes,errors,reference_action_mean,train/loss_actor,rollout/actions_mean
3.0559871,7.288061082832022,1,-5.12,2.9937556,-6.29650624710782,0.0,1.0,-1.6203707,-2.4021418,0.74934155,62998,-2.5177803,0.067867905,23.369772537277107,2695.7044575214386,0.01764,0.8641938,0.12554,8644,8644,0.012245259214834657,0.028279496,0.78313774,0.0060732197
3.0522676,7.271074755737333,1,-5.36,3.0012257,-6.279368325380595,0.0,1.0,-1.6414242,-2.416209,0.74958533,63998,-2.5181375,0.0636956,23.348288695543758,2741.0145914554596,0.0176,0.86237305,0.01371,8802,8802,0.011667604638400528,0.04106527,0.7681073,0.006072153
3.0641367,7.246877787689563,1,-5.84,3.0082095,-6.255017841213203,0.0,1.0,-1.6386979,-2.4128036,0.75003356,64998,-2.5198486,0.06319868,23.33197880149881,2785.7902903556824,0.01757,0.8658222,0.05321,8968,8968,0.01152247587435099,0.06484356,0.80202943,0.0060948078
3.0649483,7.229125575279421,1,-4.89,3.0128262,-6.23712469866316,0.0,1.0,-1.6186074,-2.4007518,0.75023645,65998,-2.5191991,0.05502577,23.31901061588193,2830.222992181778,0.01753,0.8673219,0.05845,9126,9126,0.011704483771824079,0.047962055,0.7316703,0.0054670107
3.0596008,7.212617073958445,1,-5.34,3.0095713,-6.220475831628808,0.0,1.0,-1.6141139,-2.3878424,0.7505274,66998,-2.5202549,0.060545865,23.29679939380611,2875.845684528351,0.0175,0.8656107,0.12305,9289,9289,0.012165108836448484,0.035695884,0.75130266,0.005369698
3.0545068,7.199364743250397,1,-5.14,3.0052142,-6.207093700370566,0.0,1.0,-1.5769343,-2.3667917,0.7509174,67998,-2.5226543,0.0658055,23.269845666615137,2922.1508803367615,0.01746,0.8636052,0.11912,9445,9445,0.0113982901186216,0.034042984,0.80590576,0.0051112976
3.0566642,7.169576059850374,1,-5.22,3.0106103,-6.177161263507897,0.0,1.0,-1.5705082,-2.332597,0.7513089,68998,-2.5218306,0.055846762,23.24580591076156,2968.1913487911224,0.01743,0.86015314,0.01164,9624,9624,0.011248651426796772,0.013223083,0.78623796,0.0046285535
3.0346065,7.1493208048207535,1,-4.61,2.9854937,-6.156776631600449,0.0,1.0,-1.5358161,-2.3070614,0.75167054,69998,-2.5227122,0.05338572,23.23364305189647,3012.7862360477448,0.01739,0.86052996,0.04013,9791,9791,0.01176224711973782,0.076841675,0.73583764,0.0046493267
3.0603666,7.1059953958562705,1,-3.96,3.0048048,-6.1133019717745976,0.0,1.0,-1.5474008,-2.3159115,0.75193596,70998,-2.515382,0.05056969,23.21287414491524,3058.561363697052,0.01736,0.86688393,0.04114,9991,9991,0.011475776118696102,0.032326642,0.71261716,0.0037704757
3.0474007,7.09220766426953,1,-5.58,3.0056581,-6.099399073982859,0.0,1.0,-1.5599597,-2.3263228,0.75199175,71998,-2.5138345,0.057979137,23.189707761218305,3104.7394275665283,0.01732,0.86084664,0.02431,10151,10151,0.011386324958553597,0.060281098,0.7264484,0.0039360723
3.050256,7.05577034602745,1,-4.26,2.9985342,-6.06282621302919,0.0,1.0,-1.5421259,-2.3001447,0.75227743,72998,-2.5095856,0.06405633,23.175025103826393,3149.856350660324,0.01729,0.8598444,0.09462,10346,10346,0.011494493776637733,0.0543201,0.74973696,0.0041347537
3.044636,7.05002382086708,1,-5.79,2.994676,-6.056979514054311,0.0,1.0,-1.5243249,-2.2907856,0.7525266,73998,-2.512742,0.056888092,23.16932062639903,3193.792394399643,0.01725,0.8639848,0.0398,10495,10495,0.011268394967434378,0.032880146,0.7484592,0.0032427525
3.0619695,7.038573439699672,1,-4.58,3.0059633,-6.045424683247302,0.0,1.0,-1.538579,-2.2999835,0.75270146,74998,-2.5103424,0.049986705,23.159149192931604,3238.3745782375336,0.01722,0.8617198,0.04984,10655,10655,0.01208267487360081,0.06209424,0.71797585,0.0036146885
3.047474,7.028206788125405,1,-4.46,2.9914405,-6.034957921020993,0.0,1.0,-1.5360819,-2.3026423,0.75305873,75998,-2.5151727,0.056735266,23.15340817943551,3282.3677365779877,0.01718,0.8604017,0.06591,10813,10813,0.011461737997725936,0.058072213,0.747434,0.003654498
3.071145,7.016496536638717,1,-5.51,3.006291,-6.023149835946045,0.0,1.0,-1.5900081,-2.3592234,0.75340414,76998,-2.5196157,0.049798682,23.141251051374432,3327.3049857616425,0.01715,0.86701167,0.18878,10972,10972,0.011055886382089899,0.03884959,0.7208438,0.004265994
3.0607717,7.0016159439806085,1,-5.17,2.998206,-6.008169494568633,0.0,1.0,-1.5209441,-2.2950633,0.7535381,77998,-2.5219095,0.053441215,23.13575335007629,3371.318790435791,0.01712,0.8646618,0.10691,11139,11139,0.011100128569368841,0.03876183,0.7403035,0.004121501
3.0701137,6.993891102257636,1,-5.55,3.009916,-6.000354138999557,0.0,1.0,-1.565608,-2.3199832,0.75381976,78998,-2.5235147,0.049185667,23.133509223348256,3414.8731710910797,0.01708,0.86554855,0.06956,11295,11295,0.01116320255745784,0.01800226,0.69014686,0.004072579
3.0587344,6.969073961146441,1,-4.55,2.9942572,-5.975433400121962,0.0,1.0,-1.5412672,-2.3079314,0.7540375,79998,-2.518875,0.06402102,23.121204520476205,3459.9408490657806,0.01705,0.8682123,0.02493,11479,11479,0.01138569866556971,0.021341717,0.6834275,0.0038801287
3.0651493,6.9722820005164845,1,-6.24,3.0066695,-5.978565894809331,0.0,1.0,-1.492826,-2.2618914,0.75421315,80998,-2.521968,0.057590894,23.113806523874576,3504.31245136261,0.01701,0.86809593,0.02942,11617,11617,0.011628995002440719,0.032377556,0.70915926,0.0042482987
3.0900903,6.946877912395154,1,-4.01,3.031613,-5.953062780648987,0.0,1.0,-1.5462261,-2.3215067,0.75436157,81998,-2.519385,0.052917976,23.104266640058434,3549.0414509773254,0.01698,0.869574,0.01994,11803,11803,0.010871557564772014,0.053302106,0.7312974,0.0039444147
3.0526044,6.913862045984672,1,-4.37,3.0038784,-5.919943352215928,0.0,1.0,-1.506167,-2.2851727,0.754514,82998,-2.5143425,0.04677905,23.09549985958172,3593.6871037483215,0.01695,0.86611664,0.08482,12004,12004,0.01086789410632829,0.068551816,0.71920145,0.0033493137
3.0692685,6.8975201182460175,1,-5.27,3.0067048,-5.903514534406306,0.0,1.0,-1.5223938,-2.2975044,0.7547116,83998,-2.5166037,0.045830194,23.075553386164497,3640.1293869018555,0.01691,0.8669337,0.14615,12178,12178,0.011722530342215844,0.041148003,0.73906624,0.003056444
3.0676997,6.88465899886603,1,-5.43,2.9999874,-5.890571845132026,0.0,1.0,-1.4697511,-2.2560217,0.754976,84998,-2.5175517,0.057036195,23.058498149266505,3686.189770460129,0.01688,0.865133,0.01948,12346,12346,0.011336163732773973,0.051420536,0.698613,0.0030955095
3.0856946,6.87010704585397,1,-4.97,3.0247138,-5.875938648346382,0.0,1.0,-1.540502,-2.3092322,0.75515425,85998,-2.5173028,0.056875635,23.043833257574892,3731.931186914444,0.01684,0.8672678,0.01601,12518,12518,0.011271515103491963,0.04077825,0.6907905,0.0032790774
3.0781622,6.857334279183416,1,-4.98,3.017584,-5.863088200520218,0.0,1.0,-1.5063376,-2.2879927,0.755266,86998,-2.5195215,0.045668826,23.039776392773256,3775.991507768631,0.01681,0.86421365,0.03076,12687,12687,0.010520280093455448,0.044076204,0.69322854,0.0031501877
