train/loss_critic,errors,rollout/actions_std,rollout/episode_steps,rollout/return_history,reference_Q_std,total/epochs,train/loss_actor,rollout/return,reference_actor_Q_mean,success rate,rollout/goal_tolerance,total/steps_per_second,rollout/Q_mean,rollout/actions_mean,total/duration,reference_action_std,rollout/episodes,total/episodes,total/steps,reference_Q_mean,rollout/error,reference_actor_Q_std,reference_action_mean,train/param_noise_distance
0.12433213,0.012395396455646577,0.761018,11.156782149148562,-7.03,3.3137186,1,0.91741186,-10.172636523781563,-1.5037034,1.0,0.01785,25.01806831562152,-2.813764,-0.0028617235,2278.2734174728394,0.85988486,5109,5109,56998,-2.1191509,0.01048,3.279423,0.06369551,0.0
0.12405974,0.012250571502763324,0.76154816,11.110365970492431,-7.45,3.3052387,1,0.8670628,-10.125886185092929,-1.4884684,1.0,0.01781,24.982308315355873,-2.8250723,-0.0035763802,2321.56289434433,0.8663336,5219,5219,57998,-2.1009161,0.02194,3.2773592,0.07373757,0.0
0.11009178,0.01174108035411667,0.76209396,10.996831314072693,-5.61,3.3164127,1,0.86515254,-10.01192917054986,-1.5372303,1.0,0.01778,24.949828659483764,-2.820578,-0.003130152,2364.665537595749,0.864216,5365,5365,58998,-2.1530724,0.02592,3.3073924,0.08473754,0.0
0.10701639,0.01276505332483233,0.7627212,10.938001458789206,-7.7,3.343506,1,0.8816674,-9.952771699489423,-1.5093803,1.0,0.01774,24.913966186964117,-2.8250911,-0.0041381903,2408.2074909210205,0.8579753,5484,5484,59998,-2.1307216,0.02516,3.3095214,0.0986541,0.0
0.12321816,0.012692923855765243,0.76292783,10.900107219442459,-8.1,3.3247676,1,0.87450653,-9.91458184417441,-1.4661944,1.0,0.01771,24.880224012973862,-2.8255718,-0.004854965,2451.666028738022,0.86183673,5596,5596,60998,-2.0890317,0.13047,3.3072312,0.14889394,0.0
0.11320039,0.0119342886567063,0.7635142,10.849466129879223,-6.63,3.336152,1,0.83646387,-9.863644319971995,-1.4438097,1.0,0.01767,24.847856484338156,-2.8300638,-0.0041820295,2495.1045591831207,0.8579791,5713,5713,61998,-2.04898,0.03301,3.3115711,0.09433129,0.0
0.100025624,0.012309316317846108,0.7639113,10.792701730340928,-6.97,3.318501,1,0.85037863,-9.806578721946206,-1.4368187,1.0,0.01764,24.827348605045305,-2.8364992,-0.003845178,2537.4437279701233,0.8626618,5837,5837,62998,-2.0414438,0.16161,3.2968166,0.057486545,0.0
0.10035767,0.011579167764659962,0.76438767,10.74366291757596,-7.39,3.3552058,1,0.86248296,-9.757260365956018,-1.422045,1.0,0.0176,24.809972639597287,-2.8419094,-0.003570838,2579.5272300243378,0.86391765,5957,5957,63998,-2.0337613,0.00413,3.3352768,0.09938779,0.0
0.1044696,0.011894389575864615,0.764864,10.718621144647864,-8.44,3.3554568,1,0.8301852,-9.731980867557315,-1.4018235,1.0,0.01757,24.77843448765727,-2.8481667,-0.004267806,2623.168143749237,0.8679351,6063,6063,64998,-2.0282092,0.06406,3.320873,0.076527305,0.0
0.09616413,0.012347121232337228,0.76535034,10.668606530876172,-7.1,3.3296635,1,0.90134275,-9.681700614290333,-1.3877,1.0,0.01753,24.75423967752289,-2.8517482,-0.004320388,2666.129150390625,0.8668835,6186,6186,65998,-2.0057878,0.02908,3.2929947,0.07126224,0.0
