train/loss_actor,total/steps,success rate,total/steps_per_second,train/loss_critic,rollout/actions_std,errors,rollout/error,reference_action_mean,rollout/return,total/duration,rollout/actions_mean,reference_Q_mean,total/epochs,rollout/return_history,rollout/Q_mean,total/episodes,rollout/goal_tolerance,rollout/episodes,reference_Q_std,train/param_noise_distance,rollout/episode_steps,reference_actor_Q_mean,reference_action_std,reference_actor_Q_std
1.5716563,1889998,1.0,21.57753425993935,0.06925514,0.7122325,0.0006710835915004869,0.06446,0.044826943,-7.784627039789549,87591.00911307335,0.002160457,-2.7505102,1,-9.06,-3.3112507,215157,0.001,215157,2.9518483,0.0,8.78426451382014,-1.9836888,0.844796,2.9570343
1.5360996,1890998,1.0,21.57715146137744,0.070450276,0.71221083,0.0006011732888727032,0.00551,0.0354194,-7.785826120488197,87638.9083788395,0.0021672784,-2.8651981,1,-10.4,-3.3111885,215241,0.001,215241,2.951141,0.0,8.785463735998253,-2.1199465,0.84039176,2.9282815
1.5324854,1891998,1.0,21.57704548072046,0.060274705,0.71218944,0.0006787022168750694,0.05811,0.06305092,-7.786892554614356,87685.68438577652,0.002165342,-2.8278728,1,-10.1,-3.3113096,215328,0.001,215328,2.9898942,0.0,8.786530316540349,-2.0936818,0.8455185,2.9633641
1.5192796,1892998,1.0,21.57696923421372,0.057958726,0.71216434,0.0006451337407867799,0.03502,0.0471368,-7.788408865119821,87732.33995246887,0.0021302388,-2.7686505,1,-11.63,-3.3113174,215406,0.001,215406,2.9913568,0.0,8.78804675821472,-1.9899788,0.84400105,2.9807198
1.5285428,1893998,1.0,21.576876063096186,0.06238841,0.7121409,0.0006719766897685535,0.12985,0.10076588,-7.789628289015732,87779.06470155716,0.0021241466,-2.8345387,1,-10.85,-3.311325,215490,0.001,215490,2.9822097,0.0,8.789266323263261,-2.092461,0.83718085,2.9615085
1.4602276,1894998,1.0,21.576775986841625,0.06848709,0.7121106,0.0006903159362893327,0.00083,0.10405292,-7.7910506612731885,87825.81796073914,0.002121447,-2.8494418,1,-11.74,-3.3113742,215569,0.001,215569,2.9994357,0.0,8.790688828171026,-2.1108963,0.84132785,2.9579434
1.5574679,1895998,1.0,21.576540469668984,0.0640968,0.71208507,0.0006489986610816802,0.01402,0.09068373,-7.7924551925618495,87873.12325000763,0.0021263915,-2.802396,1,-11.12,-3.3114376,215645,0.001,215645,2.9764497,0.0,8.792093486980917,-2.0348954,0.8443011,2.9592156
1.5572532,1896998,1.0,21.57638116106767,0.067479424,0.7120598,0.0006609161692218578,0.08634,0.051807392,-7.793900596126568,87920.11903381348,0.0021237636,-2.8133774,1,-12.51,-3.3116486,215726,0.001,215726,3.0056694,0.0,8.793539026357509,-2.061548,0.843107,2.970028
1.5104626,1897998,1.0,21.576329998128692,0.06008863,0.712046,0.0006503143123094832,0.1317,0.07380342,-7.794426992114018,87966.67459964752,0.0021134045,-2.7905138,1,-8.93,-3.3117416,215826,0.001,215826,2.9963238,0.0,8.794065589873323,-2.0489388,0.84420323,2.9704583
1.5277525,1898998,1.0,21.57609690937767,0.06385014,0.7120147,0.0006713840227086312,0.00053,0.06662522,-7.795774126016637,88013.97249817848,0.0021367532,-2.814711,1,-11.08,-3.3120959,215908,0.001,215908,3.0032704,0.0,8.795412861033403,-2.0285523,0.8396278,2.9961326
1.5020145,1899998,1.0,21.575798943136306,0.05959058,0.7119871,0.0006331928907152239,0.14308,0.091483116,-7.796606481481481,88061.53621506691,0.002168835,-2.828664,1,-9.91,-3.3120146,216000,0.001,216000,2.985939,0.0,8.79624537037037,-2.0719528,0.8378144,2.9695168
