rollout/error,errors,rollout/return,reference_action_mean,rollout/episodes,rollout/return_history,train/loss_critic,reference_action_std,reference_actor_Q_mean,rollout/actions_mean,rollout/Q_mean,total/steps,train/loss_actor,reference_Q_mean,total/steps_per_second,train/param_noise_distance,reference_Q_std,success rate,rollout/goal_tolerance,rollout/actions_std,total/duration,total/episodes,reference_actor_Q_std,rollout/episode_steps,total/epochs
0.0183,0.01216694462537439,-13.300491457992043,-0.23967068,4273,-7.58,0.10623864,0.85310966,-0.76641726,-0.012411003,-3.074399,60998,1.1544881,-1.1755977,26.691039898014058,0.0,4.382258,1.0,0.01771,0.75090045,2285.3362114429474,4273,4.2257586,14.275216475544115,1
0.11339,0.012353750801570569,-13.133363677742375,-0.22022314,4394,-7.43,0.12869453,0.84745973,-0.72658545,-0.011843197,-3.0677457,61998,1.1288487,-1.1445501,26.65301123859207,0.0,4.376424,1.0,0.01767,0.751608,2326.116154193878,4394,4.226224,14.108784706417843,1
0.10871,0.011902737969816729,-13.023777777777777,-0.21980594,4500,-8.37,0.10511345,0.8490116,-0.73738897,-0.010381341,-3.069482,62998,1.1146541,-1.1475186,26.616150687708817,0.0,4.359269,1.0,0.01764,0.752457,2366.9087517261505,4500,4.2056656,13.999777777777778,1
0.21757,0.011731713716235983,-12.895946238890094,-0.24403577,4613,-7.87,0.11006171,0.8417597,-0.71259737,-0.01066418,-3.0692084,63998,1.0790999,-1.1365681,26.561436085146813,0.0,4.395078,1.0,0.0176,0.75308216,2409.43297624588,4613,4.2591667,13.872534142640363,1
0.04003,0.012623348431643177,-12.789875026477441,-0.21715933,4721,-7.98,0.116649225,0.84892946,-0.73060465,-0.01113169,-3.0736058,64998,1.0878104,-1.1419561,26.517791650798962,0.0,4.3476357,1.0,0.01757,0.7537226,2451.109083890915,4721,4.2117677,13.766998517263291,1
0.06886,0.012077926076129598,-12.68046357615894,-0.23014545,4832,-8.23,0.10342052,0.8426832,-0.7143276,-0.010896158,-3.0715861,65998,1.0275954,-1.1403947,26.48163617198305,0.0,4.3849444,1.0,0.01753,0.7543656,2492.217609643936,4832,4.243287,13.658112582781458,1
0.01755,0.012375511253968607,-12.600445976079465,-0.20783035,4933,-8.79,0.11660919,0.84497744,-0.75669277,-0.010465002,-3.0782661,66998,1.0514536,-1.1823218,26.446329793582287,0.0,4.351245,1.0,0.0175,0.7548706,2533.3572001457214,4933,4.233237,13.578552604905736,1
0.04077,0.012669061691033873,-12.53318759936407,-0.18099259,5032,-9.11,0.101571836,0.838584,-0.7377574,-0.009927414,-3.08172,67998,1.0759856,-1.1569678,26.41121408212013,0.0,4.3182135,1.0,0.01746,0.7555458,2574.588195323944,5032,4.1854005,13.511724960254371,1
0.16043,0.012445147060672101,-12.483411397345824,-0.17796676,5124,-9.55,0.1011738,0.85023624,-0.7285104,-0.00940487,-3.0916033,68998,1.0758401,-1.153656,26.391321048453086,0.0,4.3860564,1.0,0.01743,0.7562096,2614.420091867447,5124,4.26071,13.462334113973458,1
0.07964,0.011888274499756372,-12.416842105263157,-0.18559106,5225,-8.85,0.097156,0.8420697,-0.74196076,-0.00951573,-3.0964355,69998,1.0329381,-1.1707094,26.376268727997612,0.0,4.3173995,1.0,0.01739,0.75671226,2653.8249485492706,5225,4.1994286,13.396172248803827,1
0.01778,0.011683752609818451,-12.338712704072059,-0.19505519,5329,-8.58,0.11235742,0.8389466,-0.68007296,-0.008485299,-3.0989056,70998,1.0174316,-1.1092646,26.353062803109964,0.0,4.331718,1.0,0.01736,0.7573955,2694.108101606369,5329,4.205283,13.318446237568024,1
0.07975,0.011832862311066457,-12.25965428466348,-0.17517185,5438,-8.19,0.113523655,0.839802,-0.73255605,-0.008090518,-3.098362,71998,1.014767,-1.1500785,26.331624934980074,0.0,4.3173947,1.0,0.01732,0.7579092,2734.278654575348,5438,4.21018,13.23979404192718,1
0.05771,0.011105204699409408,-12.179588892895781,-0.17032969,5546,-8.33,0.102057315,0.8423799,-0.70355487,-0.007859021,-3.0949316,72998,1.0477791,-1.1268244,26.311808325346465,0.0,4.358039,1.0,0.01729,0.75837296,2774.3437128067017,5546,4.2344003,13.160115398485395,1
0.01881,0.011484477117329724,-12.089383501148207,-0.21610886,5661,-7.44,0.11945781,0.8327244,-0.7120174,-0.007885947,-3.0967839,73998,0.97844625,-1.1440487,26.278509721887183,0.0,4.3641453,1.0,0.01725,0.75887686,2815.913108587265,5661,4.2432837,13.070305599717365,1
0.11271,0.01057532945346267,-12.012127512127512,-0.18077298,5772,-8.18,0.10008451,0.8309203,-0.7662731,-0.008464923,-3.0928059,74998,0.9822873,-1.184027,26.248357366457277,0.0,4.337704,1.0,0.01722,0.7592424,2857.2454631328583,5772,4.2111106,12.993416493416493,1
