rollout/goal_tolerance,rollout/return_history,rollout/error,total/steps,reference_actor_Q_std,rollout/episode_steps,total/epochs,rollout/return,rollout/actions_std,reference_Q_mean,reference_action_std,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,rollout/Q_mean,total/duration,train/loss_actor,success rate,train/loss_critic,errors,train/param_noise_distance,rollout/episodes,reference_action_mean,reference_actor_Q_mean
0.01824,-7.65,0.02408,45998,3.0111525,13.263051629650995,1,-12.289299105855207,0.7457539,-0.9837165,0.8407772,3467,3.1443927,-0.052503143,27.23227304160607,-3.317262,1689.0988104343414,1.3761888,1.0,0.09013343,0.01289364203668613,0.0,3467,-0.1292832,-0.55766016
0.01821,-6.67,0.03024,46998,3.038533,13.086605402394875,1,-12.111946532999164,0.746809,-0.9574901,0.84641695,3591,3.161087,-0.05088708,27.183065829520775,-3.3095129,1728.944052696228,1.3600963,1.0,0.081063785,0.012377336518916664,0.0,3591,-0.1405964,-0.52209306
0.01817,-7.25,0.05453,47998,3.0150566,12.923532579429187,1,-11.948034464189552,0.74768394,-0.9451462,0.8528761,3714,3.1467736,-0.04952964,27.123241191912445,-3.305976,1769.6262648105621,1.2974449,1.0,0.10141839,0.012367534411824133,0.0,3714,-0.08814838,-0.5266079
0.01814,-8.88,0.12879,48998,3.040741,12.839884696016771,1,-11.863731656184486,0.7484283,-0.9445622,0.8554924,3816,3.1820302,-0.048037052,27.08802974144019,-3.3111365,1808.8432590961456,1.3302501,1.0,0.08272129,0.012086703305592632,0.0,3816,-0.07909934,-0.51861054
0.0181,-7.34,0.03327,49998,3.0489402,12.688071065989847,1,-11.711167512690356,0.74929285,-0.90448856,0.8445176,3940,3.1814227,-0.04738545,27.039545193829618,-3.306522,1849.0695624351501,1.3488938,1.0,0.0955054,0.01257683250595422,0.0,3940,-0.13111745,-0.47571975
0.01806,-8.73,0.0438,50998,3.0563095,12.60716934487021,1,-11.629666254635353,0.75016,-0.879567,0.8533361,4045,3.179399,-0.046371803,26.982960874841876,-3.318249,1890.0075583457947,1.2532166,1.0,0.08003944,0.012912068983648852,0.0,4045,-0.09966419,-0.46919483
0.01803,-8.02,0.04551,51998,3.0506413,12.516494100650132,1,-11.538405971586805,0.7509635,-0.8779992,0.84869397,4153,3.1859846,-0.04543195,26.942637508138834,-3.3185582,1929.952105998993,1.3111936,1.0,0.07972308,0.012685577690481103,0.0,4153,-0.09606408,-0.4526346
0.01799,-7.42,0.02492,52998,3.0385244,12.407398735659097,1,-11.428705221259658,0.75173914,-0.88616896,0.8588096,4271,3.1788266,-0.043849938,26.896510933228413,-3.3165255,1970.4414498806,1.278112,1.0,0.0823775,0.012680091154681114,0.0,4271,-0.052911755,-0.47421333
0.01796,-7.47,0.04167,53998,3.0414505,12.29606012297882,1,-11.316784331587337,0.7524697,-0.87679386,0.8527371,4391,3.1786516,-0.042970646,26.859368689172715,-3.3120575,2010.3972146511078,1.2726151,1.0,0.08573877,0.013223247833062796,0.0,4391,-0.07884539,-0.4547199
0.01792,-7.94,0.13591,54998,3.0349593,12.21545979564638,1,-11.23567303420702,0.75312173,-0.82118905,0.8437867,4502,3.1780956,-0.042396963,26.807975797771256,-3.311477,2051.553627729416,1.2770073,1.0,0.06111691,0.012577765589644772,0.0,4502,-0.094057806,-0.40269184
