success rate,train/loss_actor,rollout/actions_std,train/param_noise_distance,total/episodes,total/steps_per_second,rollout/return_history,errors,reference_action_std,rollout/actions_mean,reference_Q_mean,total/steps,reference_actor_Q_mean,rollout/return,rollout/episodes,reference_action_mean,rollout/Q_mean,reference_actor_Q_std,rollout/error,reference_Q_std,rollout/goal_tolerance,rollout/episode_steps,total/duration,train/loss_critic,total/epochs
0.93,5.939725,0.6892582,0.0,76659,30.230976900440243,-31.79,0.0029478131272252734,0.77236307,0.0021826823,-4.570484,1060998,-3.9191635,-12.846867295425195,76659,-0.04353111,-4.341094,3.6942992,0.03768,3.647355,0.001,13.840436217534798,35096.384860277176,0.22982591,1
0.94,5.0690312,0.68912303,0.0,76692,30.23269905245266,-31.76,0.002063896696711133,0.7741813,0.0021717579,-4.5549912,1061998,-3.9101005,-12.853661398842121,76692,-0.06714619,-4.3423367,3.6894727,0.00248,3.632025,0.001,13.847233088196944,35127.46242594719,0.23400362,1
0.94,4.72939,0.68899715,0.0,76723,30.23362117429727,-32.46,0.002105492712280483,0.79791063,0.0022085076,-4.615948,1062998,-3.99301,-12.859716121632365,76723,-0.0066320547,-4.345359,3.7255518,0.10645,3.6523652,0.001,13.853277374450947,35159.466802597046,0.21452497,1
0.96,5.3781805,0.68888396,0.0,76749,30.23539583351663,-32.56,0.001850292788892294,0.7950496,0.0022151463,-4.5524178,1063998,-3.922466,-12.869522729937849,76749,-0.0028574143,-4.3475404,3.6904645,0.03536,3.622651,0.001,13.863060105017654,35190.4769449234,0.23631729,1
0.96,5.0215006,0.6887628,0.0,76775,30.237549084824085,-34.08,0.001674486568559031,0.7978276,0.0021919194,-4.5638742,1064998,-3.9262621,-12.87678280690329,76775,-0.005281476,-4.349568,3.730135,0.00826,3.6663313,0.001,13.87030934549007,35221.04245328903,0.20113152,1
0.96,4.3616743,0.68862885,0.0,76804,30.2394818656489,-34.72,0.0016687303879555164,0.79529154,0.0022220032,-4.540515,1065998,-3.905096,-12.885214311754597,76804,-0.038069244,-4.351317,3.704094,0.09718,3.661263,0.001,13.878743294620072,35251.86062169075,0.2536216,1
0.97,4.879141,0.6885009,0.0,76826,30.241165173643214,-36.46,0.0012656808045079313,0.7894383,0.0022571476,-4.482257,1066998,-3.8245802,-12.8939812042798,76826,-0.06228139,-4.353804,3.6921852,0.00225,3.636931,0.001,13.887499023767996,35282.965913295746,0.27715734,1
0.96,5.2912264,0.68836635,0.0,76853,30.242364374041877,-38.39,0.0025663868189375687,0.8003662,0.0022481978,-4.5580378,1067998,-3.8861697,-12.903113736614056,76853,-0.009979948,-4.3555927,3.7261353,0.00512,3.6643617,0.001,13.89660780971465,35314.63303565979,0.21220441,1
0.95,4.4611998,0.6882657,0.0,76888,30.244188986609974,-35.21,0.002902223502573695,0.7948467,0.0022323804,-4.567621,1068998,-3.9225154,-12.909725834980751,76888,-0.018791035,-4.357126,3.7328153,0.04432,3.6549594,0.001,13.903196857767142,35345.566729307175,0.17517382,1
0.95,4.177082,0.6881297,0.0,76911,30.246622210514126,-34.77,0.002666388371978075,0.7907964,0.002240148,-4.611849,1069998,-3.9213018,-12.918555213168467,76911,-0.01205648,-4.3586984,3.7335782,0.0185,3.6648383,0.001,13.912015186384263,35375.78485798836,0.18677694,1
0.96,4.165659,0.687984,0.0,76936,30.247603017952333,-32.7,0.002597656399810308,0.79286474,0.0022663674,-4.493359,1070998,-3.8164363,-12.92526255589061,76936,-0.033061493,-4.3605566,3.7377195,0.01152,3.6698217,0.001,13.918724654258085,35407.69823527336,0.20540074,1
0.95,4.363304,0.68787336,0.0,76965,30.24899948351571,-35.24,0.0019249560162613289,0.79320806,0.002252693,-4.516448,1071998,-3.8779304,-12.934931462353017,76965,-0.0019343508,-4.3618684,3.730393,0.11317,3.677975,0.001,13.928357045410252,35439.122559547424,0.20941836,1
0.93,5.1109524,0.6877327,0.0,76983,30.24989721312027,-38.88,0.00224935500590452,0.7954411,0.0022980191,-4.606949,1072998,-3.9507294,-12.942935453281894,76983,-0.015105839,-4.3649335,3.742892,0.00549,3.6550708,0.001,13.936323603912552,35471.12879228592,0.17102465,1
