rollout/goal_tolerance,total/steps_per_second,total/epochs,rollout/return,train/loss_critic,reference_action_mean,total/episodes,errors,reference_action_std,reference_actor_Q_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,train/loss_actor,success rate,rollout/actions_std,total/steps,rollout/error,reference_Q_mean,train/param_noise_distance,rollout/episodes,rollout/actions_mean,reference_Q_std,total/duration,rollout/episode_steps
0.01832,29.352922059111428,1,-26.014067278287463,0.22131382,-0.12553252,1635,0.013067948460929285,0.83417475,3.422523,-3.6608639,-8.1,-0.761351,1.9898403,1.0,0.7461409,43998,0.00478,-1.3288689,0.0,1635,0.017425355,3.5214014,1498.9308359622955,26.91131498470948
0.01828,29.254505639792413,1,-24.79440319817247,0.23319115,-0.1503567,1751,0.012599064329034937,0.8288544,3.4019175,-3.6660018,-7.23,-0.6808827,1.9433903,1.0,0.7470686,44998,0.10009,-1.2675617,0.0,1751,0.01749366,3.4970605,1538.1562263965607,25.698458023986294
0.01824,29.17268820855556,1,-24.243302351011483,0.23893008,-0.2273119,1829,0.01326361074192275,0.822997,3.4389493,-3.672503,-10.99,-0.7777787,1.8912499,0.98,0.7475068,45998,0.00233,-1.3399955,0.0,1829,0.018706411,3.528548,1576.7487614154816,25.150355385456535
0.01821,29.098986732536055,1,-23.606471816283925,0.21562985,-0.25253454,1916,0.012301882852942108,0.8189278,3.4320931,-3.6821058,-9.82,-0.6583791,1.8112048,1.0,0.7480566,46998,0.07411,-1.2205379,0.0,1916,0.016973363,3.5384538,1615.1077847480774,24.517745302713987
0.01817,29.027118754895437,1,-23.04692960559161,0.20816381,-0.21014792,2003,0.012834558801990636,0.8312162,3.4497025,-3.6863968,-10.73,-0.7447262,1.8560911,0.99,0.7485666,47998,0.17239,-1.3014193,0.0,2003,0.016016144,3.5403736,1653.5571582317352,23.961557663504742
0.01814,28.96509953989834,1,-22.546934865900383,0.22772886,-0.19812693,2088,0.01305131226966617,0.8326654,3.4961803,-3.7021449,-11.01,-0.682748,1.9011085,1.0,0.74915224,48998,0.15122,-1.2407026,0.0,2088,0.015971774,3.5807478,1691.6220133304596,23.465038314176244
0.0181,28.919375194744877,1,-22.011926605504588,0.22714433,-0.23004986,2180,0.01275497128521696,0.83000183,3.4666898,-3.70679,-9.82,-0.68475616,1.8639493,1.0,0.75007147,49998,0.02501,-1.2350361,0.0,2180,0.014224673,3.551426,1728.8755259513855,22.93348623853211
0.01806,28.862361940074123,1,-21.439035087719297,0.22842768,-0.24504866,2280,0.0126489713937343,0.8277427,3.4883678,-3.708537,-8.95,-0.67507374,1.767067,1.0,0.751005,50998,0.03122,-1.253624,0.0,2280,0.0131462375,3.5740886,1766.937858581543,22.364035087719298
0.01803,28.803856614013718,1,-21.01139240506329,0.20133972,-0.20648654,2370,0.01257887962516838,0.8376709,3.5175076,-3.717723,-10.11,-0.64091206,1.749951,1.0,0.75193894,51998,0.07648,-1.2095494,0.0,2370,0.01258523,3.6152442,1805.2443704605103,21.939240506329114
0.01799,28.733538992032138,1,-20.517604208822338,0.23008144,-0.23993248,2471,0.012549580555646825,0.82723504,3.5069804,-3.7265103,-8.92,-0.6318985,1.7529535,1.0,0.7528454,52998,0.0458,-1.2185743,0.0,2471,0.011603202,3.5964057,1844.4647564888,21.44840145690004
0.01796,28.67329940915852,1,-20.045454545454547,0.22875276,-0.24465428,2574,0.01242641673044589,0.8327095,3.5176528,-3.718742,-8.69,-0.6036482,1.7166537,1.0,0.7536388,53998,0.01065,-1.1801594,0.0,2574,0.009807373,3.6031592,1883.2154343128204,20.97902097902098
0.01792,28.617488538386528,1,-19.68016497937758,0.2004176,-0.21881104,2667,0.012995086142688881,0.8323069,3.5315912,-3.7176187,-9.5,-0.63635004,1.6194147,1.0,0.7541057,54998,0.02506,-1.2013111,0.0,2667,0.008895294,3.6165762,1921.831817150116,20.61604799400075
0.01788,28.564559038660434,1,-19.244051910598415,0.19218151,-0.15599506,2774,0.011866671256556365,0.85292506,3.5013855,-3.7110682,-8.19,-0.59578085,1.6423732,1.0,0.7546481,55998,0.04115,-1.182004,0.0,2774,0.008338275,3.6098027,1960.4013464450836,20.182408074981975
0.01785,28.509594356493057,1,-18.856547412295935,0.18623647,-0.22722173,2879,0.01281365714208051,0.835449,3.4800897,-3.7123098,-8.71,-0.57035357,1.5866799,1.0,0.7552754,56998,0.14657,-1.1263134,0.0,2879,0.0077038053,3.5749986,1999.2567865848541,19.79715178881556
0.01781,28.456781396307974,1,-18.535438360765873,0.18658637,-0.21948974,2977,0.011987355824544322,0.8359968,3.5402892,-3.705719,-8.98,-0.5960728,1.5228162,0.99,0.7558608,57998,0.03437,-1.1777474,0.0,2977,0.0063119866,3.636253,2038.1082172393799,19.47766207591535
0.01778,28.391595621328033,1,-18.15571382324377,0.2041141,-0.21501197,3089,0.01203813930004975,0.8301414,3.518813,-3.6937935,-7.95,-0.5391742,1.5412652,1.0,0.75643384,58998,0.0042,-1.1108241,0.0,3089,0.0040346845,3.630971,2078.009309053421,19.100032372936226
0.01774,28.340750667603658,1,-17.773166926677067,0.1983588,-0.1536585,3205,0.011891580164315496,0.8341518,3.5000343,-3.6925097,-7.37,-0.5616444,1.5079023,1.0,0.7570202,59998,0.09357,-1.1276505,0.0,3205,0.004188417,3.6226065,2117.0222589969635,18.7195007800312
0.01771,28.266043380305415,1,-17.51952770208901,0.1840336,-0.16880971,3303,0.012656367460103369,0.8311832,3.5343552,-3.6964374,-9.12,-0.48428828,1.5182403,1.0,0.757544,60998,0.05056,-1.064038,0.0,3303,0.004004984,3.6354604,2157.9956974983215,18.46745382985165
0.01767,28.21478595822939,1,-17.176315789473684,0.17428452,-0.1790443,3420,0.013235192809159822,0.82426125,3.5183122,-3.691831,-7.5,-0.52496624,1.4345915,1.0,0.75812066,61998,0.11117,-1.0888864,0.0,3420,0.0029761281,3.6169145,2197.358508825302,18.126023391812865
0.01764,28.157820456329834,1,-16.93611584327087,0.15879706,-0.13220371,3522,0.012428178265486766,0.8290291,3.5169303,-3.6836896,-8.91,-0.54723716,1.3784173,1.0,0.7585017,62998,0.02742,-1.1218274,0.0,3522,0.0020965952,3.6292772,2237.3180515766144,17.887279954571266
0.0176,28.1290822554716,1,-16.690929142542046,0.17799482,-0.1555456,3627,0.01235906945423354,0.83104116,3.5292468,-3.6803641,-8.66,-0.52949613,1.3372611,1.0,0.7589384,63998,0.05192,-1.1054794,0.0,3627,0.0021178846,3.6282647,2275.15421295166,17.643507030603804
