reference_Q_mean,train/loss_actor,reference_action_mean,total/steps_per_second,rollout/error,reference_actor_Q_std,total/steps,rollout/actions_std,reference_action_std,total/episodes,reference_Q_std,rollout/return_history,rollout/episodes,rollout/return,rollout/episode_steps,total/duration,train/param_noise_distance,success rate,errors,rollout/actions_mean,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/Q_mean,total/epochs
-0.32713664,0.97986984,0.014391624,24.179252309647584,0.17906,2.1784935,51998,0.7589779,0.85689396,4878,2.2598932,-5.7,4878,-9.677736777367773,10.659491594915949,2150.5214195251465,0.0,1.0,0.012404334697553455,-0.00053909223,0.01803,0.46905774,0.09979508,-2.8038342,1
-0.2645208,0.9652742,-0.050285086,24.13916075017696,0.04126,2.1971285,52998,0.75954026,0.8476608,5022,2.2796576,-5.51,5022,-9.571087216248507,10.553365193150139,2195.519577026367,0.0,1.0,0.01184958220658702,-0.00018691244,0.01799,0.51146376,0.11312462,-2.8045387,1
-0.3699329,0.963129,-0.0062892362,24.10148520599099,0.10925,2.1833577,53998,0.7602848,0.8525848,5166,2.2598011,-5.53,5166,-9.468253968253968,10.451025938830817,2240.442841529846,0.0,1.0,0.011854629133350971,0.0003311246,0.01796,0.41121435,0.118255265,-2.8008652,1
-0.28689635,0.8942257,-0.027226068,24.058645715595077,0.07753,2.213152,54998,0.760754,0.85231876,5312,2.2740731,-5.99,5312,-9.369917168674698,10.35316265060241,2285.99733543396,0.0,1.0,0.012214175001505338,-0.0001976203,0.01792,0.5054808,0.104525745,-2.7972448,1
-0.3142979,0.918609,0.03921168,24.02527192605621,0.10881,2.2003665,55998,0.76134574,0.8490266,5430,2.270923,-7.69,5430,-9.327992633517495,10.311602209944752,2330.795679330826,0.0,1.0,0.01242388580501748,-5.7532275e-06,0.01788,0.47666532,0.10345118,-2.803441,1
-0.27970994,0.9696571,-0.021039443,23.992271102475204,0.11125,2.2471452,56998,0.7617824,0.8489939,5579,2.312632,-5.33,5579,-9.229969528589352,10.214016848897652,2375.681725025177,0.0,1.0,0.01108996904438483,0.00074124127,0.01785,0.51070964,0.102328055,-2.7988105,1
-0.28122017,0.8879804,-0.02940298,23.957413565805297,0.02583,2.2342608,57998,0.76230735,0.8581508,5725,2.2835581,-5.81,5725,-9.146026200873363,10.130480349344978,2420.879025220871,0.0,1.0,0.012467583405751902,-1.0016672e-05,0.01781,0.48463207,0.08976848,-2.7942603,1
-0.24932829,0.89532125,-0.009369175,23.92566564567216,0.02885,2.2671616,58998,0.7628208,0.8455586,5868,2.3200517,-5.94,5868,-9.069359236537151,10.054192229038854,2465.8875064849854,0.0,1.0,0.011221578912589505,0.0008810628,0.01778,0.5374649,0.09036532,-2.7951488,1
-0.28240204,0.89371103,-0.019172264,23.88745432754954,0.02717,2.2604058,59998,0.76328045,0.8485389,5993,2.311481,-7.12,5993,-9.025362923410645,10.01051226430836,2511.695016860962,0.0,1.0,0.011629505843629546,0.0009820204,0.01774,0.51638466,0.09327095,-2.796137,1
-0.22122796,0.881806,-0.0423463,23.858126348931197,0.19129,2.299252,60998,0.76384753,0.8472619,6127,2.3312106,-6.58,6127,-8.970295413742452,9.955769544638486,2556.6969974040985,0.0,1.0,0.012458906305399232,-0.0005071978,0.01771,0.593383,0.09448327,-2.7956755,1
-0.1901681,0.8862054,-0.018530555,23.8380104506853,0.12129,2.3067598,61998,0.7641695,0.8500221,6258,2.3609755,-7.0,6258,-8.92138063279003,9.907158836689039,2600.8042964935303,0.0,1.0,0.0116709282657927,-0.0010330396,0.01767,0.6092064,0.09174801,-2.8025873,1
-0.20477475,0.8432074,-0.024250569,23.80755338144377,0.06562,2.2877383,62998,0.7645834,0.84363645,6380,2.3317192,-6.83,6380,-8.886050156739811,9.872100313479624,2646.13498878479,0.0,1.0,0.012088965428164811,-0.0018447802,0.01764,0.6083929,0.08950248,-2.808898,1
-0.1682699,0.8357396,-0.013973183,23.796605396063345,0.03981,2.2973108,63998,0.7650327,0.84106004,6513,2.335643,-6.95,6513,-8.838476892369108,9.824811914632274,2689.3751833438873,0.0,1.0,0.01219915784407513,-0.0013135228,0.0176,0.62830305,0.09106705,-2.810617,1
-0.17302161,0.8005384,-0.005796194,23.77689507418983,0.01186,2.309663,64998,0.765355,0.8484371,6644,2.3606312,-7.03,6644,-8.796658639373872,9.783263094521372,2733.662229537964,0.0,1.0,0.01233316337139797,-0.00023298386,0.01757,0.6267269,0.08524206,-2.8149788,1
-0.15898456,0.8242365,-0.02303517,23.757424166703576,0.0433,2.3196752,65998,0.7657535,0.8402577,6775,2.36382,-7.17,6775,-8.751143911439115,9.738007380073801,2777.99476647377,0.0,1.0,0.012041355130299573,0.00022970157,0.01753,0.6451626,0.08081112,-2.820153,1
-0.15047918,0.7974464,0.010881752,23.733631588463982,0.04382,2.3217418,66998,0.7661124,0.8365271,6906,2.3471754,-6.62,6906,-8.713147987257457,9.7002606429192,2822.913962841034,0.0,1.0,0.011817137538081479,0.00067259837,0.0175,0.64589655,0.08057435,-2.8170798,1
-0.14227514,0.78846705,-0.011526793,23.71068671218115,0.10399,2.3262072,67998,0.7664823,0.8385609,7050,2.3720787,-5.89,7050,-8.65645390070922,9.643829787234042,2867.8207774162292,0.0,1.0,0.011424285530192172,0.00171971,0.01746,0.6298381,0.07668267,-2.8157368,1
-0.19468208,0.8326419,-0.07182105,23.69009998495614,0.04012,2.3500605,68998,0.7668504,0.84065133,7187,2.3781047,-6.0,7187,-8.612773062473911,9.600389592319466,2912.524642944336,0.0,1.0,0.012533014411293661,0.00072781154,0.01743,0.5800799,0.09587982,-2.8141994,1
-0.1805416,0.7823928,-0.016631855,23.662946472875042,0.02497,2.304412,69998,0.767223,0.8457868,7342,2.3509822,-5.61,7342,-8.543584854263143,9.531462816671207,2958.1269636154175,0.0,1.0,0.011816240674910432,0.0020466892,0.01739,0.61381805,0.084671915,-2.813592,1
-0.19414379,0.7161119,-0.011724624,23.63827338697056,0.08716,2.3340187,70998,0.7674096,0.8430282,7474,2.3659112,-6.9,7474,-8.50949959860851,9.497591651056998,3003.518862724304,0.0,1.0,0.012074131780679337,0.0017451207,0.01736,0.60220957,0.07905113,-2.818611,1
