total/steps_per_second,rollout/return_history,total/steps,rollout/episodes,rollout/error,reference_action_std,rollout/actions_std,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/return,total/duration,reference_Q_std,success rate,rollout/actions_mean,reference_actor_Q_std,errors,reference_action_mean,total/epochs,rollout/episode_steps,reference_Q_mean,train/loss_actor,train/param_noise_distance,total/episodes,rollout/Q_mean
26.34489953449091,-10.62,50998,3266,0.02121,0.90527725,0.74308604,0.01806,-2.1364803,0.12706088,-14.641151255358237,1935.7826714515686,4.451873,0.99,-0.0055108336,4.408872,0.012162307493908186,-0.13062578,1,15.60777709736681,-2.5191116,1.3193483,0.0,3266,-3.2258668
26.282171219823756,-8.64,51998,3370,0.02944,0.9026118,0.74437886,0.01803,-2.1166663,0.12182129,-14.460237388724035,1978.4514591693878,4.4564137,1.0,-0.0051517016,4.4190826,0.0122777747606752,-0.16654427,1,15.427893175074184,-2.4851923,1.2955056,0.0,3370,-3.223679
26.232084922230065,-8.63,52998,3477,0.1573,0.90185463,0.7454988,0.01799,-2.124116,0.101357535,-14.273799252228933,2020.35027551651,4.4832854,1.0,-0.005366333,4.445228,0.013097076210631007,-0.1474697,1,15.242450388265746,-2.5219562,1.3524765,0.0,3477,-3.2235832
26.191257853975205,-10.45,53998,3563,0.04433,0.91235965,0.7466206,0.01796,-2.1714864,0.112233534,-14.184114510244177,2061.6802866458893,4.5246844,1.0,-0.004700977,4.478607,0.012826716982283255,-0.121423624,1,15.153522312657872,-2.557477,1.2935028,0.0,3563,-3.235799
26.157941211903122,-10.22,54998,3653,0.10153,0.919043,0.7474186,0.01792,-2.0692432,0.11256799,-14.08540925266904,2102.5354998111725,4.5143676,0.99,-0.0045651374,4.4811687,0.012954102931872234,-0.0732708,1,15.055297016151108,-2.458659,1.2744308,0.0,3653,-3.231487
26.113424672500578,-7.84,55998,3767,0.08299,0.916796,0.74827886,0.01788,-2.170731,0.101914145,-13.892221927263074,2144.414250612259,4.547416,1.0,-0.0038135368,4.51214,0.011848960646907693,-0.04686727,1,14.863020971595434,-2.554042,1.2757572,0.0,3767,-3.2263222
26.078713986850538,-8.2,56998,3879,0.10512,0.9111097,0.7493964,0.01785,-2.1028633,0.10811676,-13.721319927816447,2185.613908290863,4.5489607,1.0,-0.0037926447,4.525934,0.012603003175503193,-0.08182652,1,14.692962103634958,-2.4907932,1.2797039,0.0,3879,-3.2306478
26.041306324403347,-9.11,57998,3974,0.17778,0.91849566,0.7502411,0.01781,-2.1060607,0.109003544,-13.62078510317061,2227.1540174484253,4.5641975,1.0,-0.0028102337,4.5266266,0.01256201410258001,-0.074917816,1,14.59310518369401,-2.4952326,1.2502042,0.0,3974,-3.239767
26.01118598648189,-8.61,58998,4075,0.03532,0.91698843,0.7508412,0.01778,-2.1099625,0.10619375,-13.501104294478528,2268.178007364273,4.6080694,1.0,-0.0032206925,4.574409,0.012983024006835476,-0.0498222,1,14.474110429447853,-2.5032055,1.206325,0.0,4075,-3.2395787
25.97964763464205,-8.41,59998,4182,0.13708,0.91879547,0.7515783,0.01774,-2.0817823,0.09595412,-13.372309899569585,2309.423162460327,4.612424,1.0,-0.003653254,4.570077,0.011695780621425867,-0.03791098,1,14.346006695361071,-2.46794,1.2692862,0.0,4182,-3.2367504
25.955389879136657,-9.63,60998,4272,0.02011,0.92154,0.7524443,0.01771,-2.0799417,0.10093279,-13.304073033707866,2350.109179019928,4.6409574,1.0,-0.0039132414,4.601777,0.012342166704437735,-0.040867064,1,14.278323970037453,-2.4648347,1.1876384,0.0,4272,-3.2411826
25.927374579070108,-8.31,61998,4381,0.02014,0.91742283,0.75316495,0.01767,-2.1060953,0.10747302,-13.17667199269573,2391.21781539917,4.6504087,1.0,-0.004207954,4.6099825,0.012838633087297206,-0.061343536,1,14.151563569961196,-2.4951906,1.2118622,0.0,4381,-3.2399762
25.901234642010035,-7.85,62998,4488,0.09891,0.9125146,0.7539848,0.01764,-2.1007838,0.1314837,-13.057486631016042,2432.239268541336,4.636705,1.0,-0.0038759387,4.594686,0.012080629661101114,-0.06404493,1,14.032976827094474,-2.4899054,1.1968982,0.0,4488,-3.2380342
