rollout/return_history,reference_Q_mean,total/episodes,reference_action_std,rollout/error,success rate,total/steps,rollout/episodes,train/loss_critic,reference_action_mean,rollout/actions_mean,train/loss_actor,rollout/Q_mean,rollout/episode_steps,rollout/return,total/steps_per_second,errors,reference_Q_std,rollout/actions_std,reference_actor_Q_mean,rollout/goal_tolerance,total/duration,train/param_noise_distance,reference_actor_Q_std,total/epochs
-8.38,-2.664735,4319,0.8926222,0.10063,1.0,48998,4319,0.10988036,0.0894742,0.0008492884,0.83192354,-2.5170217,11.343829590182914,-10.357027089604076,25.574271999840843,0.013044282598641776,3.461115,0.75770295,-1.8956239,0.01814,1915.9098644256592,0.0,3.5415976,1
-8.44,-2.679564,4425,0.88665384,0.13888,0.99,49998,4425,0.09488926,0.082942285,0.0005454628,0.81350636,-2.5184793,11.297627118644067,-10.310734463276836,25.557507079116036,0.012447769856776035,3.4825087,0.75824773,-1.9086143,0.0181,1956.2940878868103,0.0,3.5674334,1
-8.65,-2.6689477,4528,0.89057124,0.17546,1.0,50998,4528,0.10000497,0.06278339,-0.00015313974,0.8322844,-2.533664,11.261925795053003,-10.274734982332156,25.5368089347343,0.013023205151431329,3.4914353,0.75918853,-1.8894465,0.01806,1997.0388677120209,0.0,3.57912,1
-7.96,-2.6428976,4635,0.884877,0.05208,1.0,51998,4635,0.10905685,0.08911764,-0.0004619933,0.81894386,-2.545663,11.215533980582524,-10.22804746494067,25.511885749478758,0.012341054853818761,3.4871936,0.759907,-1.8689125,0.01803,2038.1872398853302,0.0,3.5671525,1
-8.34,-2.6295943,4741,0.88866067,0.07573,1.0,52998,4741,0.10857742,0.07524898,-0.000577974,0.7829944,-2.551037,11.174857624973635,-10.18709133094284,25.4850685055814,0.012668190901007507,3.4958124,0.7606453,-1.843617,0.01799,2079.5706312656403,0.0,3.5827277,1
-8.59,-2.6416693,4846,0.88560236,0.12109,1.0,53998,4846,0.10088226,0.10167974,-0.00035161478,0.82706153,-2.5597987,11.140528270738754,-10.15249690466364,25.457201361933357,0.012061035089800975,3.4932706,0.7613533,-1.8572568,0.01796,2121.12868309021,0.0,3.5822551,1
-7.81,-2.62983,4955,0.8904781,0.05055,1.0,54998,4955,0.104085855,0.06505987,-0.00017328886,0.8671739,-2.574127,11.096266397578203,-10.107971745711403,25.436851893859885,0.011849216420963624,3.5044336,0.7620104,-1.8300406,0.01792,2162.1386258602142,0.0,3.5900235,1
-7.83,-2.5926995,5066,0.88232386,0.08884,1.0,55998,5066,0.10368839,0.09174267,0.00037394193,0.83683306,-2.5837653,11.051322542439795,-10.06277141729175,25.409803301008786,0.012242178221357276,3.5224023,0.7627599,-1.8139722,0.01788,2203.79509973526,0.0,3.6002395,1
-8.44,-2.6474502,5170,0.88475716,0.06012,1.0,56998,5170,0.09724578,0.0786226,-0.00049080676,0.82678115,-2.594415,11.024564796905223,-10.0357833655706,25.38444194148894,0.01171008810956849,3.5194335,0.7634118,-1.8685837,0.01785,2245.3910994529724,0.0,3.615502,1
-7.35,-2.621509,5291,0.8899358,0.06843,1.0,57998,5291,0.101894215,0.06764582,-0.00081338064,0.8089329,-2.595054,10.96106596106596,-9.972027972027972,25.352879971901892,0.012287526158587627,3.522456,0.76386434,-1.8405137,0.01781,2287.6296525001526,0.0,3.6157358,1
