rollout/error,reference_actor_Q_mean,rollout/return_history,total/steps,rollout/episode_steps,total/episodes,total/epochs,reference_actor_Q_std,total/duration,train/param_noise_distance,success rate,reference_Q_std,train/loss_actor,rollout/goal_tolerance,rollout/return,reference_action_std,reference_action_mean,reference_Q_mean,rollout/actions_mean,rollout/actions_std,total/steps_per_second,rollout/Q_mean,train/loss_critic,errors,rollout/episodes
0.0121,-2.490627,-13.28,2284998,12.80332718847531,178469,1,2.3598173,99299.21696472168,0.0,1.0,2.426435,2.1888843,0.001,-11.803792255237605,0.85923237,-0.05457126,-3.1793199,0.0053755287,0.7190039,23.011238858125115,-3.8756027,0.04768666,0.0006506196871713508,178469
0.05576,-2.4982438,-14.63,2285998,12.80441041381937,178532,1,2.3631186,99343.28259086609,0.0,1.0,2.4450567,2.1926563,0.001,-11.804875316469877,0.86134946,-0.07101932,-3.1749604,0.0053761383,0.71898943,23.011097885849217,-3.8754249,0.052742988,0.0006636783409092927,178532
0.06898,-2.3986087,-16.18,2286998,12.805888413555222,178588,1,2.3951077,99387.5961034298,0.0,1.0,2.4714282,2.156413,0.001,-11.806353170425785,0.85943675,-0.07005028,-3.07246,0.0054067113,0.7189673,23.01089964606838,-3.875311,0.053149138,0.0006809810691725137,178588
0.16811,-2.4431624,-15.28,2287998,12.80694418789497,178653,1,2.3713398,99432.49456691742,0.0,1.0,2.4420362,2.176871,0.001,-11.807408775671274,0.86093664,-0.07082403,-3.122787,0.005405104,0.7189517,23.01056621344436,-3.8751893,0.047110006,0.000680300303967459,178653
0.14193,-2.4318252,-13.66,2288998,12.807511106634886,178722,1,2.3745959,99477.37853169441,0.0,1.0,2.4401767,2.1874757,0.001,-11.807975515045714,0.8616454,-0.06587929,-3.122819,0.0054077837,0.71894777,23.0102364355199,-3.8752604,0.046888914,0.0006900400930219278,178722
0.00041,-2.4671092,-13.39,2289998,12.808465892565497,178788,1,2.3585835,99522.04458594322,0.0,1.0,2.420229,2.2303815,0.001,-11.808930129538895,0.8589514,-0.078596584,-3.158256,0.0054331515,0.7189306,23.009957336863696,-3.8750792,0.046507373,0.0006942926736782347,178788
0.1191,-2.4781163,-14.91,2290998,12.809886718182122,178846,1,2.3629563,99566.1865336895,0.0,1.0,2.431951,2.1352475,0.001,-11.810350804602843,0.8610052,-0.07943914,-3.1529312,0.0054334057,0.7189136,23.0097996092761,-3.8750226,0.048873283,0.0006849387420925044,178846
0.00198,-2.4297311,-15.08,2291998,12.810926225064138,178909,1,2.3511786,99610.06463932991,0.0,1.0,2.4203193,2.1686425,0.001,-11.811390148064099,0.86105525,-0.06650023,-3.1131997,0.0054510925,0.7188962,23.009702968258395,-3.8749554,0.046665892,0.0006993941405605017,178909
0.04516,-2.4680815,-15.4,2292998,12.81262712053821,178964,1,2.3608704,99656.88996648788,0.0,1.0,2.4276054,2.1865816,0.001,-11.813090900963322,0.8608509,-0.06147689,-3.155098,0.0054742815,0.718879,23.008925933481144,-3.8749194,0.045579746,0.0006941724712557695,178964
0.00359,-2.4771032,-15.61,2293998,12.813642634909819,179027,1,2.3718472,99700.7939620018,0.0,1.0,2.4359994,2.174195,0.001,-11.814106252129568,0.8603232,-0.04889247,-3.179221,0.0055057197,0.7188747,23.0088237900522,-3.8749774,0.047171168,0.0006798572121117806,179027
