reference_actor_Q_std,total/epochs,total/duration,success rate,reference_action_mean,total/steps_per_second,rollout/error,rollout/return_history,total/episodes,reference_Q_mean,errors,total/steps,reference_actor_Q_mean,reference_Q_std,rollout/goal_tolerance,train/loss_critic,train/loss_actor,rollout/Q_mean,rollout/episode_steps,rollout/actions_mean,rollout/actions_std,rollout/episodes,reference_action_std,rollout/return,train/param_noise_distance
3.6219838,1,2601.5033106803894,1.0,-0.014535456,24.600391526414068,0.03156,-8.18,5313,-3.4253898,0.011881782771033687,63998,-2.652098,3.517744,0.0176,0.07388872,1.1835155,-3.181171,12.045360436664785,-0.0030490994,0.76315457,5313,0.8767315,-11.057971014492754,0.0
3.6421576,1,2643.595116376877,1.0,0.03606777,24.586972338291208,0.14153,-8.17,5420,-3.4675689,0.012637468039180194,64998,-2.6850624,3.5361176,0.01757,0.07446095,1.1693354,-3.1841822,11.992250922509225,-0.00375639,0.76349497,5420,0.878286,-11.004612546125461,0.0
3.6333473,1,2687.1776943206787,1.0,-0.00647209,24.560340813890374,0.04787,-8.54,5526,-3.4586596,0.011941326189482751,65998,-2.682024,3.5212655,0.01753,0.07618673,1.206258,-3.1870492,11.943177705392689,-0.0038043892,0.76383066,5526,0.8813255,-10.955302207745204,0.0
3.6413293,1,2729.6063466072083,1.0,0.0023414742,24.544931207122904,0.08701,-8.65,5629,-3.476167,0.01192821783557087,66998,-2.7059188,3.5334928,0.0175,0.07718515,1.2538763,-3.1924472,11.900337537750932,-0.003852859,0.7643274,5629,0.8787648,-10.912240184757506,0.0
3.6041603,1,2772.0766048431396,1.0,0.0008326576,24.52962514859784,0.1316,-8.79,5730,-3.428154,0.01217794438996566,67998,-2.6712604,3.510196,0.01746,0.07164885,1.2186413,-3.2032576,11.86719022687609,-0.0035522697,0.76475084,5730,0.87956774,-10.87888307155323,0.0
3.6167583,1,2815.396495103836,1.0,-0.0066948305,24.507382928121196,0.02425,-7.5,5849,-3.4360027,0.011651073594408116,68998,-2.6603599,3.5089593,0.01743,0.0664796,1.1941154,-3.1983097,11.79415284664045,-0.004074498,0.76524454,5849,0.88035035,-10.805607796204479,0.0
3.639756,1,2856.9292228221893,1.0,0.006056868,24.501131998941567,0.06006,-9.07,5947,-3.4326687,0.012296075570987918,69998,-2.6520793,3.528846,0.01739,0.0684112,1.1532542,-3.2005918,11.766941314948713,-0.003641128,0.76553714,5947,0.87808466,-10.77820749957962,0.0
3.648578,1,2899.4680531024933,1.0,0.016887696,24.48656053445066,0.09137,-9.52,6041,-3.4563096,0.012556977735308427,70998,-2.6829019,3.5433862,0.01736,0.066876285,1.2260021,-3.2120368,11.750703525906307,-0.0031026152,0.7658703,6041,0.88213146,-10.76179440489985,0.0
3.6386914,1,2942.7470514774323,1.0,-0.01830761,24.466255080895507,0.04179,-8.43,6146,-3.407915,0.011160750736119432,71998,-2.6376195,3.5312529,0.01732,0.066045,1.1905285,-3.2197053,11.710218027985682,-0.0033125167,0.7663137,6146,0.87779826,-10.72111942726977,0.0
3.6328933,1,2985.3061294555664,1.0,0.0043291464,24.452433631425507,0.18834,-8.03,6256,-3.3901877,0.011957373220073574,72998,-2.628961,3.5200393,0.01729,0.062081274,1.211582,-3.2222888,11.66863810741688,-0.0030911781,0.76675546,6256,0.87938464,-10.679347826086957,0.0
3.652889,1,3027.84020113945,1.0,0.0058639455,24.43920256166516,0.06226,-8.05,6363,-3.446972,0.011950011556296691,73998,-2.6770043,3.5496333,0.01725,0.068560526,1.2117461,-3.2223306,11.625962596259626,-0.003568201,0.76692826,6363,0.87805605,-10.636492220650636,0.0
3.6694689,1,3070.0372474193573,1.0,-0.006768529,24.429019570704742,0.03158,-9.23,6463,-3.4316483,0.011668732709460412,74998,-2.6591616,3.5620594,0.01722,0.061853815,1.176331,-3.2286072,11.604363298777658,-0.0036840446,0.7673402,6463,0.87586975,-10.614730001547269,0.0
3.688828,1,3112.065509080887,1.0,0.029828725,24.4204370949907,0.0719,-8.7,6566,-3.4592686,0.011879515673717988,75998,-2.6906078,3.5769742,0.01718,0.06251781,1.180494,-3.2301564,11.5740176667682,-0.0035739301,0.7677244,6566,0.8788387,-10.584221748400854,0.0
3.6709588,1,3154.057183265686,1.0,-0.01865247,24.412366525415013,0.02788,-8.68,6667,-3.4373393,0.011612392206665328,76998,-2.6749427,3.5729377,0.01715,0.061517507,1.185999,-3.2337747,11.545072746362681,-0.0042281263,0.76800114,6667,0.8790124,-10.555122243887805,0.0
3.6708262,1,3197.113599538803,1.0,0.0019502317,24.396380538762067,0.10569,-9.72,6761,-3.3927796,0.012614678243572187,77998,-2.6323996,3.5576591,0.01712,0.077157244,1.1817514,-3.2442334,11.535719568111226,-0.0027816633,0.7685068,6761,0.8813884,-10.545629344771484,0.0
3.670177,1,3240.2196576595306,1.0,-0.005300675,24.380445879111075,0.21324,-8.55,6865,-3.3977218,0.011803439614502857,78998,-2.6242332,3.5664127,0.01708,0.069479816,1.172606,-3.2434952,11.50706482155863,-0.0021968551,0.7688186,6865,0.88047564,-10.516824471959213,0.0
3.7143564,1,3282.569747686386,1.0,-0.017823687,24.3705408107121,0.02751,-10.11,6950,-3.40253,0.012043071386532845,79998,-2.6320043,3.6070247,0.01705,0.06360136,1.1271296,-3.2502215,11.509064748201439,-0.002236503,0.7690924,6950,0.880385,-10.518705035971223,0.0
3.6794772,1,3324.6463525295258,1.0,-0.0025311084,24.362891992519277,0.06934,-8.73,7052,-3.3732953,0.011812341489867439,80998,-2.5968041,3.5824876,0.01701,0.06707504,1.1764277,-3.2547858,11.484117980714691,-0.0018479682,0.76937413,7052,0.87923604,-10.493618831537153,0.0
3.683765,1,3368.1576268672943,1.0,-0.02303339,24.34506014383475,0.04285,-7.61,7167,-3.3562703,0.011382892700062349,81998,-2.5899053,3.5772662,0.01698,0.06865772,1.1895812,-3.2529795,11.44118878191712,-0.0013150404,0.76968056,7167,0.8806666,-10.450537184317009,0.0
3.6881452,1,3411.5071787834167,1.0,-0.027403057,24.328836391192368,0.09477,-8.9,7268,-3.3862948,0.011457351746748255,82998,-2.6180992,3.5815396,0.01695,0.06114911,1.0855511,-3.258763,11.418684645019262,-0.001022338,0.77003443,7268,0.88137096,-10.427903137039076,0.0
3.7092874,1,3453.239045381546,1.0,0.0059107817,24.32440931430483,0.03682,-8.34,7372,-3.364727,0.011877273205448256,83998,-2.5861063,3.6087642,0.01691,0.06054279,1.1356322,-3.2610245,11.394194248507867,-0.0007903187,0.7703731,7372,0.88477427,-10.403282691264243,0.0
3.710995,1,3496.03946018219,1.0,-0.01852413,24.312654639078495,0.07885,-7.84,7480,-3.3591335,0.011709764840115915,84998,-2.5871763,3.5975943,0.01688,0.06661722,1.1581472,-3.266456,11.36283422459893,-0.00076789013,0.7707678,7480,0.8812457,-10.371791443850267,0.0
3.6982827,1,3538.3315386772156,1.0,0.014934356,24.304675539859062,0.1118,-7.24,7596,-3.301815,0.010904769061112412,85998,-2.5428174,3.5922463,0.01684,0.063407056,1.1570302,-3.2640257,11.321221695629278,-0.00034449372,0.7711145,7596,0.88163346,-10.330042127435492,0.0
