rollout/goal_tolerance,reference_actor_Q_mean,rollout/Q_mean,rollout/return,rollout/actions_mean,rollout/error,total/episodes,success rate,total/duration,train/loss_critic,rollout/episodes,reference_action_std,reference_Q_std,reference_actor_Q_std,reference_Q_mean,rollout/return_history,train/param_noise_distance,rollout/episode_steps,train/loss_actor,reference_action_mean,total/steps_per_second,errors,total/epochs,total/steps,rollout/actions_std
0.01753,-1.7006623,-2.7890441,-6.847469707769067,0.012159564,0.00316,8418,1.0,2849.553204059601,0.06669726,8418,0.8750158,4.4769483,4.4204316,-2.1902432,-5.23,0.0,7.840342124019958,0.7990668,-0.06709414,23.16082391652709,0.011490151449371662,1,65998,0.76466596
0.0175,-1.6586266,-2.7837152,-6.802094240837697,0.013274886,0.17434,8595,1.0,2896.2447249889374,0.064198926,8595,0.87299174,4.473234,4.4121904,-2.1486657,-4.97,0.0,7.795113438045375,0.81984556,-0.10129077,23.132713690227234,0.011682584456818546,1,66998,0.764901
0.01746,-1.6494105,-2.7860074,-6.762290407208852,0.013109298,0.05373,8767,1.0,2941.0282735824585,0.06087651,8767,0.8742051,4.493316,4.43202,-2.1363301,-4.75,0.0,7.755446560967264,0.7536529,-0.10738462,23.12048497145926,0.011636101874446924,1,67998,0.76525235
0.01743,-1.6508751,-2.7877104,-6.741479820627803,0.012522044,0.03768,8920,1.0,2987.279661178589,0.05952332,8920,0.87450695,4.469042,4.4271603,-2.1277516,-4.82,0.0,7.734753363228699,0.7921601,-0.07654623,23.09726835979522,0.011365575246047201,1,68998,0.7654015
0.01739,-1.669204,-2.7873812,-6.705565332160141,0.01268467,0.07244,9092,1.0,3032.2557439804077,0.06287259,9092,0.87103486,4.4896584,4.437337,-2.1515665,-4.33,0.0,7.698966124065112,0.7869958,-0.095199905,23.08446447466018,0.010864288934914037,1,69998,0.76548
0.01736,-1.6636894,-2.7822924,-6.673037468955837,0.012305165,0.01538,9261,1.0,3078.459811449051,0.0633492,9261,0.8680372,4.5027165,4.441386,-2.1503148,-5.24,0.0,7.66655868696685,0.7812596,-0.067498535,23.062831528919904,0.012081173765362914,1,70998,0.76559514
0.01732,-1.6704946,-2.78202,-6.655263996600446,0.011727296,0.04687,9413,1.0,3124.1391592025757,0.060596004,9413,0.8756386,4.4978943,4.4472136,-2.152975,-4.97,0.0,7.648889833209391,0.72870964,-0.042793024,23.04570837951316,0.011912657242191982,1,71998,0.76577264
0.01729,-1.6210275,-2.778008,-6.6190426530399415,0.011574548,0.03693,9589,1.0,3170.20116853714,0.07229363,9589,0.8835125,4.4821796,4.427302,-2.09092,-4.44,0.0,7.612785483366357,0.7052,-0.07802961,23.026299000982405,0.011856915287702312,1,72998,0.76594406
0.01725,-1.604773,-2.7786036,-6.603285420944559,0.011184224,0.06801,9740,1.0,3215.1548161506653,0.0641263,9740,0.88131595,4.482748,4.4408216,-2.0829492,-5.55,0.0,7.597125256673511,0.72246,-0.04865553,23.015376935594624,0.011948877902527869,1,73998,0.7661115
0.01722,-1.6507082,-2.7850206,-6.588491100323624,0.010925615,0.03153,9888,1.0,3260.3467919826508,0.07023277,9888,0.8801524,4.5038905,4.4523478,-2.133685,-5.5,0.0,7.582423139158576,0.7067031,-0.07378988,23.003074453436575,0.01176428228328749,1,74998,0.76620334
0.01718,-1.6241187,-2.7781594,-6.556681569796324,0.0109866485,0.07021,10065,1.0,3307.4463839530945,0.057639875,10065,0.8888469,4.4825945,4.432736,-2.1103044,-4.31,0.0,7.550720317933433,0.6724802,-0.06233595,22.97784791575862,0.010886663944302832,1,75998,0.7663222
0.01715,-1.5952321,-2.772094,-6.52382347197813,0.011323658,0.02618,10242,1.0,3353.9643313884735,0.060029734,10242,0.88594013,4.482199,4.4373074,-2.0771642,-4.75,0.0,7.517965241163835,0.6935311,-0.08422666,22.95731033255335,0.011788178293182145,1,76998,0.76649976
