rollout/episodes,reference_actor_Q_std,rollout/return_history,reference_Q_mean,total/steps,total/steps_per_second,train/loss_critic,rollout/goal_tolerance,success rate,reference_actor_Q_mean,reference_Q_std,rollout/return,rollout/actions_std,rollout/actions_mean,rollout/Q_mean,reference_action_std,train/loss_actor,reference_action_mean,total/episodes,rollout/error,errors,train/param_noise_distance,rollout/episode_steps,total/duration,total/epochs
174725,2.6653433,-15.74,-2.8404868,2310998,24.216656865635482,0.056096263,0.001,1.0,-2.1686673,2.6436915,-12.227706395764773,0.6895242,-0.0018066871,-3.6850722,0.8531306,1.7531292,-0.122986116,174725,0.09006,0.000679313046614287,0.0,13.22649306052368,95430.10056352615,1
174777,2.6579292,-17.05,-2.878615,2311998,24.21635345636644,0.05965388,0.001,0.99,-2.184488,2.6277099,-12.229332234790618,0.6894936,-0.0017992029,-3.6851344,0.85156417,1.7650563,-0.12703371,174777,0.008,0.0007282433985562272,0.0,13.228113538966797,95472.59062623978,1
174836,2.667225,-16.35,-2.8742113,2312998,24.216369188293303,0.06243577,0.001,0.99,-2.1717043,2.6398907,-12.230467409458006,0.68946874,-0.0017892501,-3.6850317,0.85194665,1.8117518,-0.13181318,174836,0.00402,0.0006957084310135871,0.0,13.229249124894187,95513.82298541069,1
174899,2.6606328,-15.08,-2.8713334,2313998,24.216054457006575,0.059148274,0.001,1.0,-2.178639,2.6286848,-12.231710873132494,0.68943596,-0.0017973211,-3.6846461,0.8506551,1.7974544,-0.1220198,174899,0.00054,0.0006785761330283459,0.0,13.230493027404387,95556.35927844048,1
174959,2.6839964,-14.94,-2.8780932,2314998,24.215688033941483,0.063797176,0.001,1.0,-2.1824465,2.6479096,-12.232728810749947,0.6894224,-0.0017871495,-3.6848755,0.8485938,1.8090568,-0.14180551,174959,0.07718,0.0006894111090627771,0.0,13.231511382666795,95599.1007463932,1
175009,2.6405656,-16.58,-2.8374417,2315998,24.215501536804645,0.074599236,0.001,1.0,-2.1280162,2.6128142,-12.23478792519242,0.68938094,-0.0017921205,-3.6844232,0.8508105,1.8008363,-0.140372,175009,0.01915,0.0007080052442068459,0.0,13.233570844927975,95641.1328701973,1
175076,2.643415,-15.77,-2.8659925,2316998,24.215097084128768,0.05733468,0.001,1.0,-2.1558228,2.609029,-12.235412049624163,0.68936306,-0.0018039087,-3.6844225,0.8524047,1.7615341,-0.11951736,175076,0.02549,0.0007414948569777101,0.0,13.234195435125317,95684.0268676281,1
175133,2.6525686,-14.72,-2.8650553,2317998,24.214793478768343,0.057729963,0.001,1.0,-2.159543,2.6164079,-12.236865696356483,0.68934464,-0.0018282123,-3.6846488,0.84585744,1.7585042,-0.15413362,175133,0.11761,0.0006970970578223139,0.0,13.235649477825424,95726.52362418175,1
175183,2.664941,-18.16,-2.8661237,2318998,24.21480092944906,0.06098572,0.001,1.0,-2.1834004,2.6342156,-12.238693252199129,0.6893215,-0.0018266706,-3.6845844,0.85057926,1.7867808,-0.15173762,175183,0.01388,0.0006469936852478935,0.0,13.237477380796081,95767.79122638702,1
175239,2.6619837,-17.88,-2.9253578,2319998,24.214506410827138,0.058444977,0.001,1.0,-2.2330577,2.631855,-12.240277563784318,0.68930256,-0.0018351919,-3.6844723,0.851579,1.8323452,-0.1523439,175239,0.00088,0.0006706990615548859,0.0,13.239062080929473,95810.25359916687,1
175297,2.6635213,-16.44,-2.8871286,2320998,24.214365732477063,0.067345716,0.001,1.0,-2.1840224,2.624436,-12.24143596296571,0.6892738,-0.0018313718,-3.6843946,0.85454065,1.7544775,-0.13018824,175297,0.00365,0.0007131690586553783,0.0,13.240220882274084,95852.10802721977,1
175351,2.6372888,-16.74,-2.823937,2321998,24.214025104161678,0.06403562,0.001,1.0,-2.1278744,2.6186655,-12.242992626218271,0.6892523,-0.0018249017,-3.6843936,0.8520609,1.8167603,-0.13757749,175351,0.05267,0.0006940677097952977,0.0,13.241777919715314,95894.75479650497,1
