reference_action_std,rollout/actions_std,reference_actor_Q_mean,rollout/episodes,total/steps_per_second,rollout/return,total/duration,total/epochs,rollout/episode_steps,rollout/return_history,train/loss_actor,train/param_noise_distance,rollout/error,reference_actor_Q_std,rollout/actions_mean,train/loss_critic,reference_Q_mean,success rate,rollout/Q_mean,errors,reference_action_mean,total/steps,reference_Q_std,total/episodes,rollout/goal_tolerance
0.8627346,0.75437737,-1.3861117,5568,24.778144233224808,-9.969288793103448,2461.7662818431854,1,10.955459770114942,-7.27,0.9964387,0.0,0.01356,3.057069,0.00245474,0.10886491,-2.0035224,1.0,-2.7205482,0.013337559405673508,0.03771322,60998,3.1582708,5568,0.01771
0.8629823,0.7550339,-1.2936261,5700,24.756090304977548,-9.888947368421052,2504.3534433841705,1,10.875438596491229,-5.97,0.99428487,0.0,0.0671,3.0665963,0.003354222,0.10628506,-1.9245777,1.0,-2.7243965,0.011747170918782558,0.039654445,61998,3.1657126,5700,0.01767
0.86989796,0.7557036,-1.282208,5829,24.733004365119854,-9.821238634414136,2547.12282705307,1,10.80802882141019,-6.95,0.99672323,0.0,0.01289,3.0408602,0.0031692337,0.11865524,-1.9153868,1.0,-2.7251575,0.01258518994035652,0.0155515345,62998,3.124603,5829,0.01764
0.8654928,0.75635266,-1.3410163,5958,24.70662577696874,-9.754279959718026,2590.3172929286957,1,10.741356159785163,-6.46,0.9810745,0.0,0.02502,3.0600548,0.002336439,0.10644232,-1.9742787,1.0,-2.7239597,0.012433161342302683,0.03956404,63998,3.1509578,5958,0.0176
0.8689375,0.7569789,-1.3335567,6091,24.680711970819054,-9.683959940896404,2633.5544970035553,1,10.671318338532261,-6.85,0.9470936,0.0,0.17132,3.0378883,0.0037549147,0.118491314,-1.9584982,1.0,-2.7260292,0.012071950312933915,-0.0014366619,64998,3.1320245,6091,0.01757
0.8695105,0.757427,-1.3390871,6211,24.653798275231605,-9.637578489776203,2676.991158246994,1,10.625181130252777,-7.6,0.96451896,0.0,0.03457,3.054645,0.004369106,0.1114526,-1.9674191,1.0,-2.7298837,0.01201070283369435,0.037230473,65998,3.140629,6211,0.01753
0.86156404,0.7580665,-1.3426762,6341,24.63086902972084,-9.577826841192241,2720.082670211792,1,10.5656836461126,-6.32,0.94549584,0.0,0.06046,3.0517433,0.0047952402,0.09644536,-1.9720159,1.0,-2.736792,0.011714017244851464,0.008193447,66998,3.1403513,6341,0.0175
0.8673282,0.7585704,-1.3335634,6445,24.603695108598174,-9.562916989914662,2763.731207847595,1,10.550814584949574,-8.87,0.95470846,0.0,0.00827,3.0752606,0.003385828,0.10215913,-1.9512289,0.99,-2.7522726,0.01259087320255236,0.039265353,67998,3.1500318,6445,0.01746
0.86502475,0.7590979,-1.3284811,6573,24.590115844926636,-9.509052183173589,2805.9241540431976,1,10.497185455651909,-7.15,0.96840256,0.0,0.14078,3.065344,0.003344609,0.10340449,-1.9637185,1.0,-2.756701,0.011880589162864684,0.04207738,68998,3.151729,6573,0.01743
0.86794615,0.7594622,-1.335089,6673,24.570372787839666,-9.501723362805334,2848.8782243728638,1,10.490034467256107,-9.02,1.010549,0.0,0.00913,3.1046565,0.0028626113,0.095264845,-1.9768678,1.0,-2.765996,0.012475470073324202,0.046495337,69998,3.1786246,6673,0.01739
0.8616829,0.7600659,-1.322901,6796,24.55395004588434,-9.458357857563273,2891.510321855545,1,10.446880517951737,-6.88,0.9482866,0.0,0.02275,3.0885503,0.002616061,0.09264339,-1.9593308,1.0,-2.7715306,0.01115970007309597,-2.121708e-05,70998,3.16313,6796,0.01736
