reference_action_mean,train/loss_actor,reference_Q_std,rollout/Q_mean,total/episodes,reference_Q_mean,rollout/episode_steps,total/steps_per_second,rollout/actions_mean,rollout/return,total/epochs,rollout/episodes,reference_actor_Q_mean,errors,train/param_noise_distance,reference_action_std,total/duration,rollout/error,success rate,rollout/goal_tolerance,total/steps,train/loss_critic,rollout/actions_std,reference_actor_Q_std,rollout/return_history
-0.017283294,1.0185364,2.2664404,-3.2331562,6122,-2.3132443,12.087063051290428,25.431355140073343,-0.00430964,-11.100130676249591,1,6122,-1.4665797,0.011681016727488013,0.0,0.89220965,2909.7151761054993,0.13004,1.0,0.01725,73998,0.08641813,0.75732553,2.3101,-6.92
-0.0023284086,0.9196049,2.265543,-3.2310805,6243,-2.2868707,12.01345506967804,25.41413565994115,-0.0040933345,-11.026269421752362,1,6243,-1.4315758,0.011402969951726405,0.0,0.88787985,2951.0348494052887,0.01163,1.0,0.01722,74998,0.07240639,0.75753796,2.290913,-7.37
0.02273945,0.8893435,2.2846975,-3.227764,6359,-2.2570958,11.951564711432615,25.395370847036894,-0.004228079,-10.964145305865703,1,6359,-1.4130206,0.01195075489232625,0.0,0.8898507,2992.5926444530487,0.01569,1.0,0.01718,75998,0.078203276,0.75771904,2.3191454,-8.07
0.004825549,0.91853774,2.2921517,-3.2219663,6478,-2.270051,11.8857672121025,25.373846361322602,-0.0043684,-10.898116702686014,1,6478,-1.4202133,0.011999976253118565,0.0,0.8884428,3034.541902065277,0.11024,1.0,0.01715,76998,0.07409687,0.7578917,2.3242447,-7.17
-0.019915195,0.9205816,2.2911532,-3.2266898,6578,-2.264448,11.856491334752205,25.362861325545445,-0.004017133,-10.86865308604439,1,6578,-1.4183309,0.011485313470190361,0.0,0.89068365,3075.2839357852936,0.01747,1.0,0.01712,77998,0.06960536,0.7581891,2.3193119,-8.96
0.005844412,0.8993734,2.2877958,-3.2263353,6690,-2.1923032,11.80762331838565,25.349976685365913,-0.0036691993,-10.819581464872945,1,6690,-1.337794,0.011326482866109079,0.0,0.89128953,3116.2947793006897,0.04009,1.0,0.01708,78998,0.06443879,0.75844157,2.321382,-8.06
-0.027604895,0.8593609,2.2954154,-3.2266488,6799,-2.1902175,11.764965436093544,25.330608092239157,-0.0029218525,-10.776731872334167,1,6799,-1.3302033,0.011808918293845637,0.0,0.88987756,3158.155529022217,0.01766,1.0,0.01705,79998,0.068542026,0.7585693,2.3315327,-8.22
-0.023552045,0.86075723,2.3044012,-3.2328455,6897,-2.2138436,11.742931709438887,25.323108801962956,-0.003203766,-10.754530955487894,1,6897,-1.3587947,0.011350450117599973,0.0,0.88978046,3198.5804204940796,0.11116,1.0,0.01701,80998,0.0680678,0.7586788,2.336053,-9.09
0.01835957,0.86606807,2.3120003,-3.242261,6993,-2.1733615,11.725725725725725,25.31585882044261,-0.0038882515,-10.737165737165737,1,6993,-1.317966,0.012144470033207984,0.0,0.8907103,3238.9973645210266,0.09367,1.0,0.01698,81998,0.072333574,0.75891054,2.341292,-9.41
-0.026702592,0.88599414,2.3242342,-3.2512944,7093,-2.179411,11.700972790074722,25.307374151684787,-0.0031735462,-10.712251515578739,1,7093,-1.3336256,0.01216845712946377,0.0,0.88919055,3279.5974605083466,0.05631,1.0,0.01695,82998,0.075182855,0.75909877,2.362792,-8.97
0.004277524,0.84787154,2.3252287,-3.255815,7199,-2.150128,11.667314904847895,25.298274572716767,-0.0033450236,-10.678427559383248,1,7199,-1.305846,0.0117450680698756,0.0,0.8873,3320.305491924286,0.06194,1.0,0.01691,83998,0.06291446,0.75932765,2.3651738,-8.5
-0.0059597543,0.83460915,2.3074036,-3.2539022,7319,-2.1329575,11.613608416450335,25.288779168354843,-0.0035485304,-10.624538871430524,1,7319,-1.2742555,0.011744626998650802,0.0,0.8916167,3361.0954263210297,0.0158,1.0,0.01688,84998,0.07997056,0.7594648,2.3419142,-7.6
-0.007014066,0.8139907,2.3138149,-3.2611043,7414,-2.079764,11.599271648233072,25.280033446531164,-0.0035425916,-10.610062044780145,1,7414,-1.2272474,0.011161292345472196,0.0,0.8888342,3401.8151195049286,0.10061,1.0,0.01684,85998,0.06802334,0.7595853,2.3485594,-9.46
-0.03428842,0.89860225,2.3223825,-3.271516,7510,-2.066293,11.583754993342211,25.268150999614956,-0.0036539317,-10.594407456724367,1,7510,-1.2334392,0.011020813567166318,0.0,0.89162606,3442.9903478622437,0.12716,1.0,0.01681,86998,0.066724196,0.75984776,2.3481116,-9.34
-0.026738107,0.8513154,2.3284323,-3.2776287,7614,-2.1152325,11.55726293669556,25.254340007136562,-0.0043933247,-10.567769897557131,1,7614,-1.2668836,0.011526910166202775,0.0,0.8862809,3484.47039103508,0.07379,1.0,0.01678,87998,0.06724967,0.7599698,2.3498447,-8.36
-0.014032313,0.82607025,2.3396091,-3.2826998,7716,-2.1232767,11.534085018144117,25.242919620498835,-0.004697259,-10.544453084499741,1,7716,-1.2638437,0.011345111471114406,0.0,0.88599086,3525.661901950836,0.08471,1.0,0.01674,88998,0.07447916,0.76018494,2.3718908,-8.83
-0.03579774,0.83695865,2.338303,-3.2855308,7829,-2.0739455,11.495593306935751,25.235407019101785,-0.0051140115,-10.505811725635457,1,7829,-1.2028861,0.011332660388926594,0.0,0.88955355,3566.338356733322,0.16116,1.0,0.01671,89998,0.06491707,0.7604625,2.3664577,-7.8
