reference_actor_Q_std,total/epochs,train/loss_critic,rollout/Q_mean,reference_Q_mean,reference_action_std,reference_Q_std,success rate,rollout/goal_tolerance,total/episodes,reference_actor_Q_mean,total/steps_per_second,errors,total/steps,rollout/return_history,rollout/actions_mean,rollout/return,rollout/episode_steps,train/loss_actor,total/duration,rollout/actions_std,rollout/episodes,train/param_noise_distance,reference_action_mean,rollout/error
3.4960282,1,0.23045583,-2.9253056,-1.8416071,0.88972944,3.433139,0.99,0.0185,1562,-1.1637553,27.828933679320215,0.013353244203304922,38998,-12.49,0.032324426,-24.03841229193342,24.964788732394368,1.3623773,1401.347261428833,0.73826647,1562,0.0,-0.06520487,0.0967
3.473451,1,0.22664887,-2.968849,-1.8267753,0.8894051,3.4319448,0.97,0.01846,1625,-1.1560214,27.756741113533597,0.01616648416230179,39998,-14.6,0.03250723,-23.67323076923077,24.60123076923077,1.3843019,1441.019312620163,0.73973405,1625,0.0,-0.05369697,0.06073
3.5162504,1,0.20492828,-2.982322,-1.8381984,0.8953422,3.473395,0.97,0.01843,1691,-1.1592472,27.712373890317636,0.014656037710167866,40998,-14.32,0.032333132,-23.3163808397398,24.24600827912478,1.3074244,1479.4113330841064,0.741045,1691,0.0,-0.0228638,0.00745
3.511449,1,0.21962206,-2.9916058,-1.8167498,0.89293295,3.4684677,1.0,0.01839,1781,-1.1309342,27.666898945168892,0.012101717240275265,41998,-9.84,0.031858403,-22.626614261650758,23.55979786636721,1.2903435,1517.9872555732727,0.74262154,1781,0.0,-0.007064966,0.02541
3.5257177,1,0.20922905,-2.9941297,-1.7818346,0.88886625,3.4901896,0.98,0.01835,1844,-1.0833502,27.62080299142409,0.013734317471595908,42998,-13.41,0.028479235,-22.38123644251627,23.315618221258134,1.2921193,1556.7251977920532,0.7438776,1844,0.0,-0.03535829,0.08721
3.5606298,1,0.2091827,-3.005916,-1.7624267,0.88495165,3.5261374,0.99,0.01832,1927,-1.0816891,27.57619716848701,0.013669610956567897,43998,-12.2,0.027616372,-21.882200311364816,22.819408406850027,1.3047969,1595.506433725357,0.7448021,1927,0.0,-0.07471896,0.02554
3.5888531,1,0.2112721,-3.036643,-1.7809522,0.8872464,3.5531802,1.0,0.01828,2004,-1.094641,27.538180105498107,0.012982879715570153,44998,-12.18,0.02730757,-21.515469061876246,22.45508982035928,1.2663491,1634.0222856998444,0.74636954,2004,0.0,-0.078716666,0.01265
3.5842268,1,0.21027792,-3.0523217,-1.7434006,0.88952076,3.5446708,0.98,0.01824,2069,-1.0612738,27.489446549795307,0.013614186539312631,45998,-14.69,0.028074482,-21.283711938134363,22.224262928951184,1.266813,1673.2966928482056,0.7474296,2069,0.0,-0.015403647,0.03346
3.5670953,1,0.21051195,-3.0542755,-1.7424448,0.88691545,3.5528266,0.99,0.01821,2159,-1.0349588,27.461138492207365,0.013115779758519052,46998,-12.38,0.026673073,-20.826308476146362,21.76933765632237,1.2153248,1711.4366912841797,0.74852854,2159,0.0,-0.018837128,0.01656
3.6119206,1,0.18990469,-3.061092,-1.74338,0.881572,3.5951803,1.0,0.01817,2245,-1.0501451,27.418798165043235,0.012554675149491329,47998,-10.58,0.02528908,-20.420489977728284,21.365701559020046,1.2018781,1750.5508341789246,0.7494386,2245,0.0,0.004057812,0.05979
