rollout/actions_std,total/episodes,reference_action_mean,rollout/episode_steps,rollout/return,rollout/return_history,reference_action_std,total/steps,total/epochs,errors,total/duration,success rate,rollout/Q_mean,reference_Q_std,train/loss_critic,reference_actor_Q_mean,rollout/episodes,reference_actor_Q_std,rollout/error,rollout/goal_tolerance,reference_Q_mean,total/steps_per_second,train/param_noise_distance,train/loss_actor,rollout/actions_mean
0.761834,3734,0.18881159,15.793786823781467,-14.820835565077665,-8.75,0.7998762,58998,1,0.012620588190596544,2355.807436943054,1.0,-3.119041,2.7925236,0.14437099,-0.04048966,3734,2.713578,0.02598,0.01778,-0.75929785,25.043642818513664,0.0,0.85407394,0.0007596977
0.7624264,3840,0.19247651,15.6234375,-14.649739583333334,-8.59,0.7913582,59998,1,0.013166962599023406,2398.8425648212433,1.0,-3.1206965,2.787239,0.1639793,-0.1364256,3840,2.721081,0.03156,0.01774,-0.8479538,25.0112286983164,0.0,0.8913436,0.0005494678
0.7624306,3921,0.12622155,15.554960469268044,-14.581229278245345,-11.22,0.8022223,60998,1,0.012599153247066288,2441.0408391952515,0.98,-3.1177962,2.8165026,0.14459819,-0.083233036,3921,2.7311115,0.2183,0.01771,-0.78609985,24.988520888536005,0.0,0.85679525,-0.00089272496
0.76296383,4024,0.1619295,15.405815109343937,-14.43141153081511,-8.38,0.7982394,61998,1,0.012354206094910567,2482.7530841827393,1.0,-3.122973,2.79765,0.14452595,-0.03925539,4024,2.7037628,0.0404,0.01767,-0.7346345,24.971472352599335,0.0,0.89100045,-0.0006418418
0.7634423,4114,0.15262587,15.310646572678658,-14.335683033543996,-10.02,0.8008955,62998,1,0.012390929010969533,2524.9792623519897,1.0,-3.1328716,2.8294728,0.14821452,-0.061163478,4114,2.738231,0.04622,0.01764,-0.75052047,24.949907882141602,0.0,0.79305625,-0.0013510807
0.7640502,4215,0.14621796,15.181494661921707,-14.205931198102016,-8.85,0.805249,63998,1,0.011976088141784443,2568.555728673935,1.0,-3.1384661,2.832165,0.14535286,-0.0781426,4215,2.7547054,0.10621,0.0176,-0.78207564,24.91594762206704,0.0,0.8214792,-0.0023557125
0.76453555,4314,0.15427719,15.066759388038943,-14.090635141400092,-9.2,0.8049735,64998,1,0.011707348376350941,2612.488660097122,1.0,-3.141463,2.8621306,0.14379705,-0.06818396,4314,2.7771575,0.02576,0.01757,-0.7840928,24.87972521862875,0.0,0.7776432,-0.0030744148
0.764918,4412,0.16987987,14.95897552130553,-13.982320942883046,-9.28,0.8083797,65998,1,0.012108014223805343,2653.7298827171326,1.0,-3.1523783,2.8764458,0.15038837,-0.04350137,4412,2.7946918,0.06937,0.01753,-0.7507735,24.869901202011253,0.0,0.7737064,-0.002242337
0.7652178,4503,0.1388831,14.858538751943149,-13.881412391738841,-9.26,0.81174284,66998,1,0.01226021235314567,2695.170084953308,1.0,-3.1581066,2.8774066,0.14301015,-0.032227032,4503,2.7834864,0.03787,0.0175,-0.7465462,24.85854246232504,0.0,0.76027465,-0.001985204
0.76557535,4587,0.15733099,14.824286025724875,-13.846958796599084,-11.47,0.8032444,67998,1,0.01275727836372374,2738.770207643509,0.99,-3.1691933,2.879948,0.1406933,-0.032375045,4587,2.8016217,0.0352,0.01746,-0.75584805,24.82793182510438,0.0,0.7540679,-0.0028386805
0.765835,4677,0.14108936,14.752405388069276,-13.77464186444302,-9.95,0.80698293,68998,1,0.011707867636622092,2782.3356487751007,1.0,-3.1711624,2.8716187,0.1339646,-0.0048395023,4677,2.7890098,0.21502,0.01743,-0.7335017,24.798589641898804,0.0,0.72279245,-0.0028069639
0.76621944,4773,0.12734045,14.664781060129897,-13.686570291221454,-9.65,0.8141619,69998,1,0.012823573924126763,2825.2209367752075,1.0,-3.1858406,2.891453,0.13431394,0.04975743,4773,2.8068016,0.1548,0.01739,-0.6777354,24.776115414144506,0.0,0.74127907,-0.0021696957
0.7665198,4874,0.11702988,14.567090685268774,-13.588428395568322,-8.82,0.81194824,70998,1,0.012044536775775357,2867.9855918884277,1.0,-3.1955435,2.9330642,0.1447801,-0.08230148,4874,2.8510778,0.01461,0.01736,-0.79501206,24.755354490205544,0.0,0.7360758,-0.00083207357
0.76683426,4967,0.16021349,14.49506744513791,-13.516005637205557,-9.8,0.8044203,71998,1,0.012295426708081324,2911.48326086998,1.0,-3.2077253,2.9042728,0.12287909,-0.014655538,4967,2.8343148,0.04484,0.01732,-0.74870956,24.728976109066238,0.0,0.67484605,-9.640496e-05
0.7671887,5078,0.1338288,14.374359984245766,-13.394840488381252,-7.95,0.8123717,72998,1,0.01184027021255274,2953.8563752174377,1.0,-3.2072842,2.934665,0.12594229,-0.050058305,5078,2.8913252,0.11743,0.01729,-0.7434486,24.712779068219426,0.0,0.6766185,0.0002530654
0.76747924,5181,0.1818272,14.278517660683265,-13.298591005597375,-8.59,0.8027192,73998,1,0.011926377871415383,2995.9065022468567,1.0,-3.2126634,2.9335434,0.1490825,-0.06066943,5181,2.8603919,0.02695,0.01725,-0.7539129,24.69970272587055,0.0,0.64284253,-0.0003498486
0.76765025,5267,0.14374675,14.239415226884374,-13.259160812606797,-10.67,0.81197953,74998,1,0.011966890273987214,3038.0840628147125,1.0,-3.2256784,2.9459157,0.1335097,-0.029026665,5267,2.8683999,0.16853,0.01722,-0.74095964,24.685952873376433,0.0,0.6564486,-0.00019263265
0.76790285,5365,0.14471807,14.164771668219943,-13.184156570363466,-9.0,0.8120494,75998,1,0.012422533938137857,3082.2121601104736,1.0,-3.233101,2.946083,0.13084558,-0.027595881,5365,2.8618553,0.06481,0.01718,-0.75380194,24.656965858338594,0.0,0.7021878,-0.00013223609
