rollout/return_history,reference_Q_mean,total/steps_per_second,reference_actor_Q_std,reference_actor_Q_mean,success rate,rollout/error,total/epochs,total/steps,rollout/actions_std,train/loss_critic,rollout/return,rollout/goal_tolerance,reference_action_mean,total/duration,reference_action_std,rollout/actions_mean,rollout/episode_steps,total/episodes,reference_Q_std,train/loss_actor,rollout/episodes,rollout/Q_mean,train/param_noise_distance,errors
-2.04,0.0018514395,18.38579867226849,1.2791904,0.27317637,1.0,0.05074,1,54998,0.7784945,0.020657988,-2.445300269271714,0.01792,-0.1438957,2991.3304817676544,0.8482765,0.0064747315,3.4441104640240465,15969,1.5374222,-0.19272873,15969,-1.0695108,0.0,0.011509124630277817
-2.3,-0.0063752383,18.383884278852953,1.2842268,0.27589056,1.0,0.01002,1,55998,0.77850604,0.020953607,-2.438436042229315,0.01788,-0.15260445,3046.0374505519867,0.8454846,0.0068255905,3.437269825681316,16292,1.5502234,-0.17659679,16292,-1.0719905,0.0,0.011695673426801218
-2.1,0.02973269,18.37077159311977,1.2806946,0.30349165,1.0,0.017,1,56998,0.7785591,0.020420766,-2.4334316854338534,0.01785,-0.19822235,3102.6459455490112,0.83524853,0.006550699,3.432287589570663,16607,1.547627,-0.21704352,16607,-1.0732528,0.0,0.01282558439890107
-1.92,0.03858836,18.35491508514832,1.2848834,0.30939883,1.0,0.06122,1,57998,0.7786142,0.020973315,-2.4287825059101653,0.01781,-0.18978868,3159.807590007782,0.83737826,0.007085406,3.427659574468085,16920,1.5570002,-0.2025238,16920,-1.0746871,0.0,0.012337819661587604
-2.59,0.05173202,18.340654870071255,1.2891605,0.32571998,1.0,0.01925,1,58998,0.77869666,0.01976521,-2.421580564735896,0.01778,-0.23097931,3216.788081884384,0.82876474,0.006943057,3.420478923870818,17247,1.5598071,-0.22136383,17247,-1.0756161,0.0,0.012081243139516891
-2.19,0.07095687,18.33164947414186,1.2940328,0.34593645,1.0,0.04221,1,59998,0.7787079,0.019388635,-2.418100011390819,0.01774,-0.18804781,3272.9187891483307,0.8352005,0.007230926,3.41701788358583,17558,1.5723416,-0.2445251,17558,-1.0766927,0.0,0.01180112925216749
-2.21,0.07654759,18.327119212879715,1.2972939,0.34751257,1.0,0.01403,1,60998,0.7786455,0.02065243,-2.4123140588301086,0.01771,-0.13448875,3328.2917675971985,0.8511612,0.0076634353,3.4112515378593,17882,1.5724843,-0.23733643,17882,-1.0769275,0.0,0.012604570053842879
-2.51,0.09214461,18.324828408694557,1.3079212,0.3645641,1.0,0.05908,1,61998,0.77875507,0.020903138,-2.411894151950267,0.01767,-0.19461556,3383.2786107063293,0.84442776,0.008120962,3.410848874951862,18177,1.592543,-0.24133255,18177,-1.0795507,0.0,0.01184422664243512
-2.13,0.10143179,18.323836916892933,1.3195394,0.36760238,1.0,0.04889,1,62998,0.77896744,0.019995125,-2.4084049975661204,0.01764,-0.20397985,3438.035400867462,0.83616596,0.0077317683,3.407377359511061,18489,1.5933032,-0.23354024,18489,-1.0819724,0.0,0.01214750975662179
-1.93,0.11116287,18.31246493571161,1.324456,0.3828529,1.0,0.05705,1,63998,0.7789269,0.020362241,-2.403583390929874,0.0176,-0.13829316,3494.7780227661133,0.8544618,0.0072586867,3.4025732362167047,18809,1.6046793,-0.29065162,18809,-1.0812651,0.0,0.011871173759186454
