total/steps_per_second,reference_Q_std,total/steps,reference_action_std,rollout/Q_mean,train/loss_actor,reference_action_mean,rollout/error,rollout/episode_steps,reference_actor_Q_std,rollout/return_history,rollout/return,total/duration,train/loss_critic,rollout/actions_mean,success rate,total/epochs,errors,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,total/episodes,reference_Q_mean,rollout/goal_tolerance,rollout/episodes
19.83933943286823,1.9234948,1228998,0.7989806,-1.5695232,0.78224486,0.14334236,0.01687,4.459127620512746,1.5761628,-4.86,-3.4592836358095016,61947.52623486519,0.029448042,0.002477902,1.0,1,0.0008365434283428667,-0.6996623,0.74564207,0.0,275614,-1.1445532,0.00172,275614
19.840010745577473,1.8749442,1229998,0.8005132,-1.5697141,0.7889045,0.11657941,0.02545,4.459853802865928,1.4544742,-4.72,-3.4600097174682367,61995.833357810974,0.02294094,0.002481054,1.0,1,0.0008768052778572612,-0.6378312,0.7456131,0.0,275792,-1.1270185,0.00171,275792
19.84046484004641,1.8632615,1230998,0.8004801,-1.5699085,0.7862468,0.12489474,0.01935,4.460577665206379,1.4932472,-4.57,-3.46073347755034,62044.816486120224,0.022594685,0.0024731522,1.0,1,0.0009093868269058652,-0.6336971,0.74558467,0.0,275973,-1.0959034,0.00171,275973
19.841103630276507,1.8509483,1231998,0.79949117,-1.5700555,0.7808524,0.11663576,0.02302,4.46116186689552,1.5314223,-4.45,-3.461317574295967,62093.2193570137,0.022651363,0.0024433758,1.0,1,0.0009171739425759248,-0.68815815,0.7455633,0.0,276159,-1.1439304,0.00171,276159
19.841772314317566,1.9066811,1232998,0.8044364,-1.5701799,0.7673193,0.14962997,0.01602,4.462089930335655,1.5451748,-4.91,-3.4622455441961457,62141.5254881382,0.024920745,0.0024556282,1.0,1,0.0008111444883274295,-0.6631497,0.7455355,0.0,276325,-1.1036078,0.0017,276325
19.842566585426468,1.8783922,1233998,0.79538065,-1.5703311,0.7943044,0.1660455,0.02921,4.462967048467072,1.5350574,-5.04,-3.4631225655251234,62189.43475317955,0.031345688,0.0024711108,1.0,1,0.0008780419036243569,-0.67734945,0.74550277,0.0,276497,-1.1305614,0.0017,276497
19.843311575523803,1.9138235,1234998,0.8003736,-1.5704345,0.763778,0.13236205,0.0253,4.463674248311207,1.552309,-4.67,-3.463829664193265,62237.49474978447,0.026402328,0.0024920315,1.0,1,0.0008653309560976396,-0.67567647,0.7454737,0.0,276677,-1.1350183,0.0017,276677
19.843557193417023,1.8417474,1235998,0.80124813,-1.5707067,0.79592156,0.08969139,0.00292,4.464239144961406,1.48553,-4.37,-3.4643944620430336,62287.11858224869,0.023556076,0.0024746861,1.0,1,0.0009596743644489805,-0.674157,0.74543625,0.0,276853,-1.153459,0.00169,276853
19.844179045733824,1.8800652,1236998,0.80096376,-1.5709684,0.77688086,0.11303247,0.0009,4.465397680303517,1.5768172,-5.17,-3.4655529043134226,62335.55931687355,0.026904311,0.0024793085,1.0,1,0.000810667585634062,-0.69600356,0.74540216,0.0,277019,-1.1417576,0.00169,277019
19.844930862962983,1.9170986,1237998,0.8008542,-1.5710733,0.7752557,0.1332957,0.0306,4.4660194875235835,1.5871431,-4.2,-3.466174608499908,62383.58846139908,0.022851635,0.0024525276,1.0,1,0.0008406116621825321,-0.7104585,0.7453718,0.0,277203,-1.1855335,0.00169,277203
